# Species	Genes	Alg.-Conn.	babesia_bigemina_protein.faa	babesia_bovis_T2Bo_protein.faa	babesia_microti_strain_RI_protein.faa	babesia_ovata_protein.faa	babesia_sp._Xinjiang_protein.faa	besnoitia_besnoiti_protein.faa	cryptosporidium_felis_protein.faa	cryptosporidium_hominis_TU502_protein.faa	cryptosporidium_muris_RN66_protein.faa	cryptosporidium_parvum_Iowa_II_protein.faa	cryptosporidium_ubiquitum_protein.faa	eimeria_acervulina_protein.faa	eimeria_brunetti_protein.faa	eimeria_maxima_protein.faa	eimeria_mitis_protein.faa	eimeria_necatrix_protein.faa	eimeria_praecox_protein.faa	eimeria_tenella_protein.faa	gregarina_niphandrodes_protein.faa	neospora_caninum_Liverpool_protein.faa	plasmodium_berghei_ANKA_protein.faa	plasmodium_chabaudi_protein.faa	plasmodium_coatneyi_protein.faa	plasmodium_cynomolgi_protein.faa	plasmodium_falciparum_protein.faa	plasmodium_fragile_protein.faa	plasmodium_gaboni_protein.faa	plasmodium_gallinaceum_protein.faa	plasmodium_inui_San_Antonio_1_protein.faa	plasmodium_knowlesi_protein.faa	plasmodium_malariae_protein.faa	plasmodium_reichenowi_protein.faa	plasmodium_relictum_protein.faa	plasmodium_sp._gorilla_clade_G2_protein.faa	plasmodium_vinckei_protein.faa	plasmodium_vivax_protein.faa	plasmodium_yoelii_protein.faa	porospora_cf._gigantea_A_protein.faa	porospora_cf._gigantea_B_protein.faa	theileria_annulata_protein.faa	theileria_equi_strain_WA_protein.faa	theileria_orientalis_strain_Shintoku_protein.faa	theileria_parva_strain_Muguga_protein.faa	toxoplasma_gondii_ME49_protein.faa	type	number_of_genoms	number_of_proteins	number_of_genus	function
37	37	0.000754	*	*	SJK86129.1	*	*	PFH38766.1	KAF7456634.1	EAL37741.1	EEA07761.1	EAK90509.1	OII73877.1	CDI84050.1	CDJ52474.1	CDJ59899.1	CDJ34332.1	CDJ64690.1	CDI86027.1	CDJ44849.1	*	CBZ49535.1	VUC55110.1	CDR12261.1	ANQ06798.1	GAB65289.1	CAX63925.1	KJP89095.1	KYO02856.1	CRG93195.1	EUD66935.1	CAA9986975.1	SBT87477.1	KYO02129.1	CRG98959.1	SOV11448.1	VEV55806.1	EDL45347.1	VTZ76550.1	*	*	CAI76542.1	AFZ81410.1	BAM42032.1	EAN31860.2	EPT32673.1	full_gca_44	37	37	8	histone acetyltransferase, putative
43	43	0.00458	CDR93685.1	EDO05948.1	SIO73783.1	GBE62789.1	ORM39865.1	PFH32073.1	KAF7457233.1	EAL38242.1	EEA05015.1	EAK88136.1	OII71320.1	CDI79818.1	CDJ47674.1	CDJ58666.1	CDJ29469.1	CDJ68113.1	CDI74163.1	CDJ39892.1	EZG43648.1	CBZ51164.1	VUC57491.1	CDR15343.1	ANQ09810.1	*	CZU00167.1	KJP85939.1	KYN96063.1	CRG94667.1	EUD69454.1	CAA9989678.1	SCO94101.1	KYN94125.1	CRH01454.1	SOV19435.1	VEV58189.1	EDL46193.1	VTZ80525.1	KAH0472633.1	KAH0487272.1	CAI74229.1	AFZ79799.1	BAM40552.1	KAF5153687.1	EPT27991.1	full_gca_44	43	43	10	hypothetical protein, conserved
23	23	0.00519	CDR95316.1	EDO06395.1	CCF73925.1	GBE61479.1	ORM40671.1	PFH36377.1	KAF7456359.1	EAL36901.1	EEA05595.1	EAK89691.1	OII73633.1	CDI80374.1	CDJ46312.1	*	CDJ28351.1	CDJ69730.1	CDI85982.1	CDJ44146.1	*	CBZ51922.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	CAI76579.1	AFZ81350.1	BAM41992.1	EAN31905.1	EPT30651.1	full_gca_44	23	23	7	potassium channel tetramerisation domain containing protein, putative
39	39	0.00269	CDR94245.1	EDO07171.1	SJK86267.1	GBE60593.1	*	PFH33109.1	KAF7457551.1	EAL36758.1	EEA06540.1	EAK87707.1	OII72368.1	CDI79139.1	CDJ47702.1	CDJ58206.1	CDJ28486.1	CDJ70328.1	*	CDJ40289.1	EZG55935.1	CBZ53264.1	VUC55762.1	CDS47250.1	ANQ08309.1	GAB66537.1	CZT98923.1	KJP90155.1	KYN98900.1	CRG96310.1	EUD65381.1	CAA9988287.1	SCN12781.1	KYN96596.1	CRH00131.1	SOV15734.1	VEV56432.1	*	VTZ78431.1	*	*	CAI73138.1	EKX74104.1	BAM39450.1	KAF5153472.1	EPT29076.1	full_gca_44	39	39	9	autophagy-related protein 7, putative
40	40	0.00179	CDR94961.1	EDO06093.1	CCF73880.1	GBE61840.1	ORM41388.1	PFH37606.1	*	EAL36517.1	*	EAK90458.1	OII75057.1	CDI76800.1	CDJ47154.1	CDJ57889.1	*	CDJ68358.1	CDI86987.1	CDJ37547.1	EZG78818.1	CBZ55628.1	VUC56223.1	CDU21710.1	*	GAB68492.1	CZT99913.1	KJP89797.1	KYN95814.1	CRG95720.1	EUD65924.1	CAA9990404.1	SCP02736.1	KYN93865.1	CRH03936.1	SOV18928.1	VEV56932.1	EDL47027.1	VTZ78975.1	KAH0476320.1	KAH0488507.1	CAI76487.1	AFZ81453.1	BAM42089.1	EAN31802.2	EPT24543.1	full_gca_44	40	40	10	pantothenate kinase, putative
37	37	0.00126	CDR93911.1	EDO08556.1	CCF72965.1	GBE60908.1	*	PFH33583.1	KAF7458361.1	EAL35198.1	EEA06458.1	EAZ51366.1	OII72472.1	CDI83896.1	CDJ50203.1	CDJ58234.1	*	*	*	CDJ42412.1	*	CBZ55496.1	VUC53758.1	CDR10399.1	ANQ09342.1	GAB67510.1	CAG25204.1	KJP88899.1	KYO01727.1	CRG93614.1	EUD66302.1	CAA9989300.1	SCO93341.1	KYO00909.1	CRH01100.1	SOV12322.1	VEV54425.1	EDL46332.1	VTZ71462.1	*	*	CAI74830.1	AFZ79032.1	BAM39867.1	EAN32435.2	EPT25620.1	full_gca_44	37	37	8	trophozoite exported protein 1, putative
37	37	0.00191	CDR96349.1	*	SJK85922.1	GBE63053.1	*	PFH34694.1	*	EAL36153.1	EEA06631.1	EAK88802.1	OII71746.1	CDI80968.1	CDJ47131.1	CDJ60171.1	CDJ34743.1	*	CDI80017.1	CDJ41710.1	*	CBZ51590.1	VUC58462.1	CDR16864.1	ANQ11201.1	GAB69081.1	CZT99411.1	KJP88023.1	KYN98055.1	CRG93556.1	EUD69104.1	CAA9991041.1	SCP03535.1	KYN95356.1	CRH02674.1	SOV16900.1	VEV59177.1	EDL47613.1	VTZ81734.1	*	*	CAI75931.1	EKX73212.1	BAM40897.1	EAN30555.2	EPT30983.1	full_gca_44	37	37	8	conserved Plasmodium protein, unknown function
38	38	0.00131	CDR94435.1	EDO07335.1	SJK86601.1	GBE60401.1	ORM39426.1	PFH31231.1	KAF7458963.1	EAL35922.1	EEA04873.1	EAK87964.1	OII75405.1	*	*	CDJ58096.1	*	CDJ62606.1	*	CDJ41547.1	EZG68217.1	CBZ52561.1	VUC55296.1	CDR12579.1	ANQ07280.1	GAB65703.1	CAD51811.1	KJP88675.1	*	CRG96675.1	EUD67951.1	CAA9987397.1	SBT87782.1	KYN98417.1	CRG99337.1	SOV14138.1	VEV55951.1	EDL44937.1	VTZ77336.1	KAH0478675.1	KAH0471820.1	CAI73311.1	*	BAM39284.1	EAN34025.2	EPT30339.1	full_gca_44	38	38	10	tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6, putative
38	38	0.00114	CDR95147.1	EDO06259.1	*	*	*	PFH36865.1	KAF7458515.1	EAL36679.1	EEA05738.1	EAZ51500.1	OII72970.1	CDI80717.1	CDJ50323.1	CDJ60673.1	CDJ35327.1	CDJ65858.1	CDI85821.1	CDJ41257.1	*	CBZ50788.1	VUC54579.1	CDS46012.1	ANQ07121.1	GAB65539.1	CZT98585.1	KJP86698.1	KYN99708.1	CRG97343.1	EUD66157.1	CAA9987226.1	SCN45176.1	KYN97785.1	CRG99190.1	SOV15185.1	VEV55286.1	EDL42418.1	VTZ74358.1	*	*	CAI76335.1	AFZ81145.1	BAM42242.1	EAN31641.2	EPT27568.1	full_gca_44	38	38	8	leucine-rich repeat protein
36	36	0.00071	CDR97774.1	EDO05705.1	SJK85773.1	GBE62138.1	ORM40339.1	PFH33092.1	*	*	EEA07920.1	EAK88332.1	OII74757.1	CDI82628.1	CDJ45716.1	*	*	CDJ61976.1	*	CDJ38971.1	*	CBZ53282.1	VUC57309.1	CDR15001.1	ANQ08669.1	GAB66801.1	CAD51628.1	KJP85623.1	KYO02462.1	CRG93034.1	EUD68388.1	CAA9988569.1	SCN44658.1	KYO01667.1	CRH00398.1	SOV11898.1	VEV58021.1	EDL43965.1	VTZ80243.1	*	*	CAI73906.1	AFZ80492.1	BAM38651.1	EAN33374.2	EPT29055.1	full_gca_44	36	36	8	conserved Plasmodium protein, unknown function
39	39	0.00252	CDR95059.1	EDO06177.1	CCF72487.1	GBE61723.1	ORM41395.1	PFH38260.1	KAF7457855.1	EAL37301.1	EEA06670.1	EAK88829.1	*	CDI81625.1	CDJ49082.1	CDJ60287.1	CDJ31120.1	*	CDI75184.1	CDJ43208.1	*	CBZ55943.1	VUC54685.1	CDR11506.1	ANQ06575.1	GAB68233.1	CZT99182.1	KJP88293.1	KYN97836.1	CRG95985.1	EUD65144.1	CAA9990058.1	SCP02475.1	KYN95130.1	CRH03652.1	SOV16436.1	VEV55389.1	EDL46767.1	VTZ75150.1	*	KAH0483912.1	CAI76413.1	*	BAM42191.1	EAN31723.1	EPT24904.1	full_gca_44	39	39	9	conserved protein, unknown function
43	43	0.00238	CDR95510.1	EDO05309.1	CCF73865.1	GBE61315.1	ORM40564.1	PFH32007.1	KAF7457733.1	EAL36589.1	EEA07796.1	EAZ51335.1	OII74637.1	CDI76728.1	CDJ48348.1	CDJ60811.1	CDJ35038.1	CDJ67557.1	CDI81793.1	CDJ42026.1	EZG66668.1	CBZ51223.1	VUC56954.1	CDR14481.1	ANQ07725.1	*	CZT98322.1	KJP87819.1	KYN99450.1	CRG94130.1	EUD67497.1	CAA9987704.1	SCN12106.1	KYN97520.1	CRG99624.1	SOV14652.1	VEV57664.1	EDL44653.1	VTZ79888.1	KAH0471864.1	KAH0471504.1	CAI75332.1	EKX72211.1	BAM41502.1	EAN30837.2	EPT28064.1	full_gca_44	43	43	10	RING zinc finger protein, putative
39	39	0.000874	CDR96021.1	EDO05862.1	*	GBE59890.1	ORM41331.1	PFH38268.1	KAF7456621.1	EAL35530.1	EEA08035.1	EAK88196.1	OII71228.1	CDI83544.1	CDJ47937.1	CDJ60483.1	*	CDJ63452.1	CDI74392.1	CDJ43191.1	*	CBZ55938.1	VUC57515.1	CDR15379.1	ANQ09925.1	GAB68089.1	CZU00192.1	KJP85391.1	KYN96086.1	CRG94692.1	EUD69430.1	CAA9989652.1	SCO94076.1	KYN94147.1	CRH01429.1	SOV19485.1	VEV58213.1	EDL46165.1	VTZ80549.1	*	*	CAI75597.1	EKX72865.1	BAM41203.1	EAN31122.2	EPT24896.1	full_gca_44	39	39	8	exosome component 10, putative
38	38	0.00133	CDR96768.1	EDO08352.1	SIO73608.1	GBE58770.1	ORM40128.1	PFH36320.1	KAF7455739.1	*	EEA08604.1	EAK87952.1	OII72688.1	CDI76230.1	CDJ52469.1	CDJ59896.1	CDJ29546.1	*	CDI85633.1	*	*	CBZ50668.1	VUC57047.1	CDR14621.1	ANQ07930.1	GAB66100.1	CAB39050.1	KJP86249.1	KYO03349.1	CRG94222.1	EUD67399.1	CAA9987810.1	SCN12199.1	KYO02730.1	CRG99717.1	SOV11080.1	VEV57757.1	EDL44749.1	VTZ79981.1	*	*	CAI76713.1	AFZ81542.1	BAM41843.1	EAN32049.1	EPT31428.1	full_gca_44	38	38	8	U4/U6.U5 tri-snRNP-associated protein 1, putative
42	42	0.00406	CDR95695.1	EDO06970.1	CCF73438.1	GBE59603.1	ORM39816.1	PFH32135.1	*	EAL37653.1	EEA08499.1	EAK88687.1	OII71933.1	CDI81009.1	CDJ49918.1	CDJ59289.1	CDJ28916.1	*	CDI73873.1	CDJ44856.1	EZG55465.1	CBZ51080.1	VUC58152.1	CDR16405.1	ANQ09685.1	GAB68775.1	CAD52243.1	KJP90042.1	KYN96909.1	CRG97497.1	EUD68795.1	CAA9990711.1	SCP03221.1	KYN94549.1	CRH02357.1	SOV17485.1	VEV58869.1	EDL47310.1	VTZ81424.1	KAH0478088.1	KAH0471529.1	CAI73652.1	AFZ80172.1	BAM38907.1	KAF5153377.1	EPT27920.1	full_gca_44	42	42	10	conserved Plasmodium protein, unknown function
34	34	0.000487	CDR94339.1	*	SJK86288.1	GBE60502.1	ORM39527.1	PFH38000.1	*	*	*	*	*	CDI84120.1	CDJ49514.1	CDJ60913.1	CDJ28551.1	CDJ63133.1	CDI75026.1	CDJ39392.1	*	*	VUC56999.1	CDR14549.1	ANQ07749.1	GAB66053.1	CZT98366.1	KJP86025.1	KYN99492.1	CRG94174.1	EUD67451.1	CAA9987757.1	SCN12151.1	KYN97566.1	CRG99669.1	SOV14739.1	VEV57709.1	EDL44700.1	VTZ79933.1	*	*	CAI73221.1	EKX74014.1	BAM39368.1	EAN34113.2	EPT29487.1	full_gca_44	34	34	6	hypothetical protein, conserved
44	44	0.00111	CDR98013.1	EDO05790.1	SIO73327.1	GBE62502.1	ORM41292.1	PFH37131.1	KAF7457305.1	EAL38073.1	EEA04936.1	EAK88239.1	OII75343.1	CDI78990.1	CDJ50986.1	CDJ57056.1	CDJ29882.1	CDJ69802.1	CDI80700.1	CDJ38190.1	EZG79999.1	CBZ54708.1	VUC54691.1	CDR11514.1	ANQ06326.1	GAB68240.1	CZT99190.1	KJP88286.1	KYN97845.1	CRG95978.1	EUD65151.1	CAA9990065.1	SCP02482.1	KYN95139.1	CRH03659.1	SOV16455.1	VEV55396.1	EDL46775.1	VTZ75162.1	KAH0486628.1	KAH0488516.1	CAI75688.1	EKX72725.1	BAM41120.1	EAN31211.1	EPT26578.1	full_gca_44	44	44	10	hypothetical protein, conserved
35	35	0.000322	CDR95388.1	EDO05229.1	SIO73236.1	GBE61417.1	ORM42308.1	PFH33394.1	KAF7457674.1	EAL38199.1	EEA07430.1	EAK88575.1	OII74574.1	CDI79767.1	*	*	*	*	*	*	*	CBZ51735.1	VUC55499.1	CDR12882.1	ANQ07591.1	GAB65903.1	CAD52006.1	KJP86782.1	KYO00308.1	CRG96880.1	EUD64674.1	CAA9987608.1	SBT87985.1	KYN98628.1	CRG99544.1	SOV14503.1	VEV56153.1	EDL42331.1	VTZ77742.1	KAH0472628.1	KAH0487265.1	*	AFZ80745.1	*	KAF5153405.1	EPT30942.1	full_gca_44	35	35	9	mRNA processing protein, putative
24	24	0.0012	*	*	*	*	*	*	KAF7457623.1	EAL35863.1	EEA07375.1	EAK88585.1	OII74520.1	CDI78355.1	CDJ52939.1	CDJ57231.1	CDJ29181.1	CDJ67017.1	CDI79531.1	CDJ42053.1	EZG61132.1	*	VUC57138.1	CDR14751.1	ANQ05689.1	GAB64472.1	*	KJP85205.1	*	*	EUD66605.1	CAA9986202.1	SBT86958.1	*	*	*	VEV57849.1	EDL43774.1	VTZ80072.1	*	*	*	*	*	*	*	full_gca_44	24	24	4	dual specificity protein phosphatase, catalytic domain-containing protein, putative
