# Species	Genes	Alg.-Conn.	GCF_000956335.1_Plas_frag_nilgiri_V1_protein.faa	GCF_001680005.1_ASM168000v1_protein.faa	GCF_900002335.2_PCHAS01_protein.faa	GCF_900005855.1_PGAL8A_protein.faa	GCF_900090045.1_PmUG01_protein.faa
4	4	0.0654	XP_012334234.1	XP_019913536.1	XP_734454.2	*	XP_028860492.1
5	5	0.0702	XP_012334093.1	XP_019912497.1	XP_745302.1	XP_028530870.1	XP_028860014.1
5	5	0.00917	XP_012333916.1	XP_019914148.1	XP_016653755.1	XP_028529454.1	XP_028860689.1
4	4	0.0592	XP_012338109.1	XP_019912430.1	XP_016655476.1	*	XP_028860070.1
5	5	0.0545	XP_012338096.1	XP_019913040.1	XP_742063.2	XP_028527170.1	XP_028859632.1
4	4	0.0546	XP_012337438.1	XP_019916572.1	XP_732162.2	XP_028527491.1	*
4	4	0.0351	XP_012334407.1	XP_019913180.1	*	XP_028528234.1	XP_028859723.1
5	5	0.111	XP_012336353.1	XP_019912968.1	XP_740029.2	XP_028530982.1	XP_028859432.1
5	5	0.0613	XP_012335553.1	XP_019912810.1	XP_016653461.1	XP_028525936.1	XP_028859464.1
2	4	0.136	XP_012338271.1,XP_012337832.1	XP_019912530.1,XP_019912560.1	*	*	*
4	4	0.0833	XP_012334261.1	XP_019913615.1	XP_016653664.1	*	XP_028860435.1
3	4	0.233	XP_012334007.1,XP_012337962.1	XP_019916892.1	*	*	XP_028859146.1
5	5	0.0388	XP_012334492.1	XP_019915759.1	XP_738040.2	XP_028526479.1	XP_028862736.1
2	4	0.243	*	XP_019915268.1	*	*	XP_028858977.1,XP_028858995.1,XP_028861013.1
4	4	0.123	*	XP_019914786.1	XP_743596.2	XP_028529219.1	XP_028861777.1
4	4	0.0754	XP_012336500.1	XP_019916244.1	*	XP_028531015.1	XP_028862973.1
5	5	0.0533	XP_012334587.1	XP_019915233.1	XP_016653927.1	XP_028530649.1	XP_028859833.1
5	5	0.078	XP_012334225.1	XP_019913634.1	XP_016653678.1	XP_028526030.1	XP_028860499.1
4	4	0.0953	XP_012333399.1	XP_019916878.1	XP_739073.2	XP_028527834.1	*
4	4	0.144	XP_012334228.1	XP_019913394.1	*	XP_028526029.1	XP_028860498.1
4	4	0.0646	XP_012334388.1	XP_019913166.1	*	XP_028528253.1	XP_028859742.1
5	5	0.0818	XP_012337902.1	XP_019916087.1	XP_742635.2	XP_028530460.1	XP_028864334.1
5	5	0.1	XP_012335593.1	XP_019914466.1	XP_744886.2	XP_028526922.1	XP_028861047.1
4	4	0.0544	XP_012333129.1	XP_019914839.1	*	XP_028529171.1	XP_028861730.1
4	4	0.0973	XP_012335725.1	XP_019914999.1	XP_739197.2	XP_028529062.1	*
4	4	0.0283	XP_012336511.1	XP_019916641.1	*	XP_028527898.1	XP_028862961.1
4	4	0.0601	XP_012338002.1	XP_019916806.1	*	XP_028527495.1	XP_028863364.1
5	5	0.126	XP_012337354.1	XP_019912691.1	XP_016653054.1	XP_028526192.1	XP_028860136.1
5	5	0.0295	XP_012333216.1	XP_019914919.1	XP_740232.2	XP_028529261.1	XP_028861817.1
5	5	0.0645	XP_012335921.1	XP_019914154.1	XP_016653835.1	XP_028529622.1	XP_028860857.1
5	5	0.155	XP_012333139.1	XP_019914821.1	XP_738427.2	XP_028529182.1	XP_028861740.1
5	5	0.126	XP_012333991.1	XP_019914118.1	XP_016653343.1	XP_028529381.1	XP_028860619.1
5	5	0.179	XP_012334592.1	XP_019915494.1	XP_744692.2	XP_028530654.1	XP_028859828.1
5	5	0.166	XP_012337202.1	XP_019913667.1	XP_016655137.1	XP_028529987.1	XP_028859041.1
5	5	0.155	XP_012334547.1	XP_019915194.1	XP_740323.2	XP_028530611.1	XP_028859871.1
5	5	0.0459	XP_012335024.1	XP_019912985.1	XP_016655502.1	XP_028530944.1	XP_028859395.1
5	5	0.188	XP_012335131.1	XP_019913270.1	XP_016653384.1	XP_028528793.1	XP_028863508.1
5	5	0.0494	XP_012335861.1	XP_019915301.1	XP_740143.2	XP_028525819.1	XP_028861992.1
5	5	0.0992	XP_012338060.1	XP_019915358.1	XP_016654367.1	XP_028525867.1	XP_028861945.1
5	5	0.133	XP_012334803.1	XP_019913974.1	XP_016653774.1	XP_028529490.1	XP_028860724.1
5	5	0.0377	XP_012337012.1	XP_019916436.1	XP_741619.2	XP_028527674.1	XP_028863187.1
5	5	0.0443	XP_012335948.1	XP_019914238.1	XP_016653823.1	XP_028529596.1	XP_028860831.1
5	6	0.103	XP_012336801.1	XP_019913768.1,XP_019915978.1	XP_732597.2	XP_028530164.1	XP_028862232.1
5	5	0.0853	XP_012333306.1	XP_019916493.1	XP_741408.2	XP_028530276.1	XP_028864155.1
5	6	0.124	XP_012337493.1,XP_012338507.1	XP_019913504.1	XP_016655245.1	XP_028527337.1	XP_028860532.1
5	5	0.0157	XP_012337504.1	XP_019913525.1	XP_016655240.1	XP_028526053.1	XP_028860522.1
5	5	0.0762	XP_012337786.1	XP_019916589.1	XP_016654902.1	XP_028530440.1	XP_028864314.1
5	5	0.168	XP_012337905.1	XP_019916668.1	XP_741777.2	XP_028530458.1	XP_028864332.1
5	5	0.0425	XP_012334265.1	XP_019913436.1	XP_016653661.1	XP_028525996.1	XP_028860439.1
4	5	0.102	XP_012334430.1	XP_019915735.1,XP_019915918.1	XP_016652963.1	*	XP_028862799.1
5	5	0.129	XP_012337350.1	XP_019912647.1	XP_016653051.1	XP_028526195.1	XP_028860133.1
5	5	0.109	XP_012333488.1	XP_019916623.1	XP_738890.2	XP_028527750.1	XP_028863112.1
5	5	0.0972	XP_012337821.1	XP_019915422.1	XP_744177.1	XP_028530691.1	XP_028862105.1
5	6	0.113	XP_012334563.1,XP_012334564.1	XP_019915288.1	XP_740966.2	XP_028530627.1	XP_028859855.1
5	5	0.0422	XP_012333173.1	XP_019914711.1	XP_016653590.1	XP_028529217.1	XP_028861775.1
5	5	0.168	XP_012333266.1	XP_019916916.1	XP_016654850.1	XP_028530320.1	XP_028864197.1
5	5	0.0483	XP_012336895.1	XP_019913826.1	XP_743188.2	XP_028530013.1	XP_028859770.1
5	5	0.0884	XP_012338406.1	XP_019912617.1	XP_016653068.1	XP_028529960.1	XP_028860165.1
5	5	0.18	XP_012336719.1	XP_019913729.1	XP_016655210.1	XP_028530125.1	XP_028862195.1
5	5	0.0976	XP_012334293.1	XP_019913521.1	XP_736655.2	XP_028526218.1	XP_028860467.1
5	5	0.0558	XP_012335925.1	XP_019913995.1	XP_745435.2	XP_028529618.1	XP_028860853.1
5	5	0.0346	XP_012334030.1	XP_019912571.1	XP_739136.2	XP_028530810.1	XP_028859952.1
5	5	0.14	XP_012335259.1	XP_019915810.1	XP_741621.2	XP_028526580.1	XP_028862641.1
5	5	0.16	XP_012334224.1	XP_019913383.1	XP_737167.2	XP_028526031.1	XP_028860500.1
5	5	0.0871	XP_012334742.1	XP_019913931.1	XP_745337.2	XP_028529550.1	XP_028860784.1
3	3	0.333	*	*	XP_016653651.1	XP_028525982.1	XP_028860453.1
3	3	0.0591	XP_012334383.1	XP_019913141.1	XP_016653151.1	*	*
3	3	0.308	*	*	XP_742241.2	XP_028528151.1	XP_028861292.1
2	3	0.329	XP_012334546.1	XP_019915382.1,XP_019917884.1	*	*	*
3	3	0.313	*	*	XP_016653284.1	XP_028528130.1	XP_028861313.1
2	3	0.331	XP_012335156.1,XP_012338347.1	XP_019917116.1	*	*	*
3	3	0.207	*	*	XP_736248.2	XP_028530676.1	XP_028859805.1
4	4	0.139	XP_012333770.1	XP_019914375.1	XP_744249.2	*	XP_028861351.1
4	4	0.0956	XP_012336758.1	XP_019913131.1	*	XP_028528725.1	XP_028863576.1
3	3	0.294	XP_012337702.1	*	XP_741491.1	*	XP_028861925.1
3	4	0.229	XP_012337091.1	*	XP_740400.2	*	XP_028862985.1,XP_028862983.1
3	3	0.193	XP_012337596.1	XP_019917306.1	*	*	XP_028859754.1
3	3	0.275	*	*	XP_016654160.1	XP_028526931.1	XP_028861056.1
3	3	0.231	XP_012336532.1	XP_019916079.1	XP_739169.2	*	*
5	6	0.136	XP_012335648.1,XP_012335649.1	XP_019916541.1	XP_016654433.1	XP_028527410.1	XP_028863448.1
3	3	0.253	*	*	XP_016653017.1	XP_028526519.1	XP_028862697.1
3	3	0.271	XP_012337092.1	*	XP_746037.2	*	XP_028862982.1
4	4	0.131	XP_012338029.1	XP_019912479.1	XP_016654283.1	XP_028525922.1	*
3	3	0.17	XP_012337731.1	XP_019914397.1	XP_016655455.1	*	*
5	6	0.134	XP_012333130.1	XP_019915670.1,XP_019915167.1	XP_016655422.1	XP_028529172.1	XP_028861731.1
4	4	0.215	XP_012334075.1	*	XP_741511.2	XP_028530856.1	XP_028859998.1
3	3	0.162	XP_012333389.1	XP_019916324.1	*	*	XP_028864063.1
2	3	0.327	*	XP_019914587.1	*	*	XP_028858875.1,XP_028859280.1
3	3	0.286	XP_012333381.1	XP_019916694.1	*	*	XP_028864068.1
3	3	0.329	*	*	XP_737682.2	XP_028529737.1	XP_028864533.1
3	3	0.26	*	*	XP_743752.2	XP_028529680.1	XP_028860913.1
4	4	0.214	XP_012333845.1	XP_019913571.1	XP_016653607.1	XP_028526281.1	*
2	3	0.327	*	XP_019913483.1	*	*	XP_028858874.1,XP_028862321.1
3	3	0.251	*	XP_019913429.1	*	XP_028528291.1	XP_028860310.1
3	3	0.287	*	*	XP_745505.2	XP_028529050.1	XP_028861614.1
3	3	0.141	XP_012338296.1	XP_019915000.1	*	*	XP_028861875.1
4	4	0.178	*	XP_019917373.1	XP_016655655.1	XP_028528419.1	XP_028863878.1
2	3	0.326	XP_012338013.1,XP_012338652.1	XP_019916676.1	*	*	*
4	4	0.193	XP_012335017.1	XP_019912861.1	*	XP_028530951.1	XP_028859402.1
3	3	0.329	XP_012334212.1	XP_019912744.1	*	*	XP_028860264.1
3	3	0.0945	XP_012335774.1	XP_019917674.1	*	*	XP_028862349.1
5	7	0.116	XP_012338309.1	XP_019913817.1	XP_743817.1,XP_740785.2	XP_028530084.1,XP_028527611.1	XP_028862155.1
3	3	0.161	XP_012335506.1	XP_019912903.1	XP_016653488.1	*	*
3	3	0.233	*	*	XP_735252.2	XP_028528493.1	XP_028863803.1
4	4	0.225	XP_031850595.1	*	YP_009272514.1	YP_009325463.1	YP_009307917.1
5	6	0.153	XP_012334704.1,XP_012334705.1	XP_019917672.1	XP_738026.2	XP_028529741.1	XP_028864537.1
3	3	0.165	XP_012335136.1	XP_019913083.1	*	*	XP_028863503.1
4	4	0.233	XP_031850615.1	*	YP_009272533.1	YP_009325482.1	YP_009307935.1
4	4	0.199	XP_012335038.1	XP_019912947.1	*	XP_028530931.1	XP_028859382.1
4	4	0.113	XP_012334907.1	XP_019917463.1	*	XP_028529336.1	XP_028863948.1
2	3	0.328	XP_012336655.1	XP_019914492.1,XP_019915046.1	*	*	*
3	3	0.0782	XP_012334830.1	XP_019917154.1	*	*	XP_028863875.1
3	3	0.248	XP_012334828.1	XP_019917425.1	*	*	XP_028863873.1
4	4	0.237	XP_012333691.1	*	XP_016653306.1	XP_028528170.1	XP_028861272.1
4	4	0.0764	XP_012333479.1	XP_019916226.1	*	XP_028527760.1	XP_028863104.1
4	4	0.0857	XP_012333570.1	XP_019917287.1	*	XP_028528539.1	XP_028863757.1
3	3	0.307	XP_012334524.1	XP_019915523.1	*	*	XP_028859902.1
4	4	0.0926	XP_012333378.1	XP_019916183.1	*	XP_028527320.1	XP_028863492.1
4	4	0.178	XP_012334445.1	XP_019916060.1	*	XP_028526431.1	XP_028862783.1
4	4	0.0504	XP_012333625.1	XP_019917424.1	*	XP_028528483.1	XP_028863813.1
3	3	0.228	XP_012333627.1	*	*	XP_028528481.1	XP_028863815.1
2	3	0.333	XP_012338012.1,XP_012338467.1	XP_019914621.1	*	*	*
3	3	0.157	XP_012334214.1	XP_019912759.1	*	*	XP_028860266.1
2	3	0.331	XP_012333084.1	XP_019914861.1,XP_019916102.1	*	*	*
3	3	0.33	XP_012333762.1	*	*	XP_028528098.1	XP_028861344.1
4	4	0.102	XP_012333780.1	XP_019913501.1	XP_016655453.1	*	XP_028860308.1
3	3	0.285	*	*	XP_016655444.1	XP_028526319.1	XP_028860335.1
4	4	0.0902	XP_012333783.1	XP_019913397.1	*	XP_028526344.1	XP_028860311.1
3	3	0.084	XP_012336697.1	XP_019913779.1	*	XP_028530102.1	*
2	3	0.33	XP_012334248.1	XP_019913466.1,XP_019915162.1	*	*	*
2	3	0.323	XP_012337726.1	XP_019913658.1,XP_019917210.1	*	*	*
4	4	0.0325	XP_012336153.1	XP_019917683.1	XP_743853.2	*	XP_028864400.1
3	3	0.296	XP_012334601.1	XP_019915236.1	XP_745220.1	*	*
3	3	0.304	XP_012337803.1	XP_019916560.1	XP_745886.2	*	*
2	3	0.333	XP_012336743.1,XP_012336787.1	XP_019913688.1	*	*	*
3	3	0.332	XP_012335717.1	*	XP_016655358.1	*	XP_028861616.1
3	3	0.327	*	XP_019914346.1	*	XP_028528086.1	XP_028861356.1
4	4	0.0158	XP_012335672.1	XP_019917068.1	*	XP_028527434.1	XP_028863424.1
4	4	0.0401	XP_012335408.1	XP_019915818.1	XP_735241.2	*	XP_028862423.1
4	4	0.119	XP_012335374.1	XP_019917895.1	*	XP_028526400.1	XP_028864510.1
2	3	0.326	XP_012338257.1,XP_012338258.1	XP_019915140.1	*	*	*
4	4	0.155	XP_012335460.1	XP_019915761.1	*	XP_028526857.1	XP_028862373.1
2	3	0.333	XP_012335569.1,XP_012335570.1	*	*	*	XP_028861025.1
3	3	0.241	XP_012333557.1	XP_019917335.1	XP_746280.2	*	*
5	8	0.178	XP_012337101.1	XP_019917473.1,XP_019917852.1,XP_019917025.1,XP_019916678.1	XP_736246.2	XP_028528028.1	XP_028862834.1
5	5	0.203	XP_012337158.1	XP_019914311.1	XP_735905.2	XP_028527025.1	XP_028861152.1
5	5	0.192	XP_012335679.1	XP_019916724.1	XP_734193.2	XP_028527441.1	XP_028863417.1
5	5	0.273	XP_012333582.1	XP_019917351.1	XP_740946.2	XP_028528525.1	XP_028863771.1
5	5	0.169	XP_012336396.1	XP_019915591.1	XP_016653012.1	XP_028526513.1	XP_028862703.1
5	5	0.0872	XP_012334519.1	XP_019915839.1	XP_742593.1	XP_028526504.1	XP_028862711.1
5	5	0.118	XP_012336563.1	XP_019914849.1	XP_735289.2	XP_028528912.1	XP_028861475.1
5	5	0.176	XP_012333619.1	XP_019917434.1	XP_737372.2	XP_028528489.1	XP_028863807.1
5	5	0.114	XP_012334387.1	XP_019913108.1	XP_737279.2	XP_028528254.1	XP_028859743.1
5	5	0.1	XP_012337536.1	XP_019914778.1	XP_740135.2	XP_028529299.1	XP_028861855.1
5	5	0.0522	XP_012334088.1	XP_019912406.1	XP_734224.2	XP_028530866.1	XP_028860009.1
5	5	0.163	XP_012337103.1	XP_019916852.1	XP_016654762.1	XP_028528026.1	XP_028862836.1
5	5	0.249	XP_012335099.1	XP_019913024.1	XP_016653403.1	XP_028528760.1	XP_028863541.1
5	5	0.19	XP_012335049.1	XP_019912900.1	XP_016655485.1	XP_028530920.1	XP_028859372.1
5	5	0.138	XP_012337567.1	XP_019915786.1	XP_733341.2	XP_028526692.1	XP_028862530.1
5	5	0.113	XP_012333400.1	XP_019916703.1	XP_742847.2	XP_028527833.1	XP_028863032.1
5	5	0.0475	XP_012336421.1	XP_019915718.1	XP_016653028.1	XP_028526540.1	XP_028862678.1
5	5	0.082	XP_012337379.1	XP_019914570.1	XP_016654189.1	XP_028526986.1	XP_028861112.1
5	5	0.0781	XP_012333741.1	XP_019914628.1	XP_745995.1	XP_028528122.1	XP_028861321.1
5	5	0.0723	XP_012336140.1	XP_019915961.1	XP_016654065.1	XP_028526789.1	XP_028862438.1
5	5	0.228	XP_012337106.1	XP_019916971.1	XP_746258.2	XP_028528021.1	XP_028862840.1
5	5	0.141	XP_012335789.1	XP_019917866.1	XP_741827.2	XP_028529940.1	XP_028864732.1
5	5	0.196	XP_012337640.1	XP_019915714.1	XP_016653998.1	XP_028526647.1	XP_028862573.1
5	5	0.106	XP_012335393.1	XP_019917676.1	XP_745925.2	XP_028529732.1	XP_028864528.1
5	5	0.102	XP_012335217.1	XP_019916340.1	XP_734975.2	XP_028530352.1	XP_028864229.1
5	5	0.0288	XP_012333217.1	XP_019914870.1	XP_740415.2	XP_028529262.1	XP_028861818.1
5	5	0.0923	XP_012336484.1	XP_019916958.1	XP_741121.2	XP_028527522.1	XP_028863337.1
5	5	0.0849	XP_012334892.1	XP_019917417.1	XP_016655676.1	XP_028528361.1	XP_028863934.1
5	5	0.105	XP_012334756.1	XP_019914029.1	XP_016653794.1	XP_028529538.1	XP_028860772.1
5	5	0.116	XP_012334658.1	XP_019917601.1	XP_745311.2	XP_028529787.1	XP_028864582.1
5	5	0.0274	XP_012334462.1	XP_019915901.1	XP_016652977.1	XP_028526447.1	XP_028862767.1
5	5	0.266	XP_012334242.1	XP_019913566.1	XP_744131.1	XP_028526015.1	XP_028860484.1
5	5	0.243	XP_012333730.1	XP_019914404.1	XP_742009.2	XP_028528134.1	XP_028861309.1
5	5	0.189	XP_012334117.1	XP_019912764.1	XP_732228.2	XP_028526157.1	XP_028860172.1
5	5	0.183	XP_012334023.1	XP_019912434.1	XP_016653706.1	XP_028530803.1	XP_028859945.1
5	5	0.0468	XP_012333963.1	XP_019914057.1	XP_745835.2	XP_028529408.1	XP_028860646.1
5	5	0.254	XP_012333438.1	XP_019916442.1	XP_016654660.1	XP_028527798.1	XP_028863065.1
5	5	0.15	XP_012336760.1	XP_019913030.1	XP_741660.2	XP_028528723.1	XP_028863578.1
5	5	0.12	XP_012333179.1	XP_019914726.1	XP_016653587.1	XP_028529223.1	XP_028861781.1
5	5	0.0733	XP_012337001.1	XP_019914718.1	XP_016655303.1	XP_028528955.1	XP_028861517.1
5	5	0.168	XP_012336296.1	XP_019914395.1	XP_738835.2	XP_028527070.1	XP_028861197.1
5	5	0.17	XP_012337366.1	XP_019914608.1	XP_741819.1	XP_028526973.1	XP_028861099.1
4	5	0.212	XP_012333864.1,XP_012333865.1	XP_019913508.1	XP_016653619.1	*	XP_028860393.1
5	5	0.0867	XP_012334973.1	XP_019916317.1	XP_742345.2	XP_028527617.1	XP_028863244.1
5	5	0.125	XP_012334416.1	XP_019913127.1	XP_016653169.1	XP_028528225.1	XP_028859714.1
5	5	0.156	XP_012334056.1	XP_019912590.1	XP_733646.2	XP_028530837.1	XP_028859979.1
5	5	0.155	XP_012333425.1	XP_019916578.1	XP_016654669.1	XP_028527810.1	XP_028863054.1
5	5	0.12	XP_012334613.1	XP_019915435.1	XP_016653935.1	XP_028530673.1	XP_028859808.1
5	5	0.0662	XP_012337788.1	XP_019917055.1	XP_741520.1	XP_028530438.1	XP_028864312.1
5	5	0.144	XP_012333505.1	XP_019916874.1	XP_016654624.1	XP_028527730.1	XP_028863132.1
5	5	0.0974	XP_012338218.1	XP_019916135.1	XP_016654593.1	XP_028527681.1	XP_028863180.1
5	5	0.0906	XP_012334947.1	XP_019917016.1	XP_016654534.1	XP_028527589.1	XP_028863271.1
5	5	0.118	XP_012333490.1	XP_019916287.1	XP_744824.2	XP_028527747.1	XP_028863115.1
5	5	0.14	XP_012335891.1	XP_019915442.1	XP_016654327.1	XP_028525791.1	XP_028862022.1
5	5	0.115	XP_012336722.1	XP_019913792.1	XP_016655212.1	XP_028530128.1	XP_028862198.1
5	5	0.0604	XP_012336713.1	XP_019913716.1	XP_745114.2	XP_028530119.1	XP_028862189.1
5	5	0.178	XP_012336609.1	XP_019914134.1	XP_744816.2	XP_028529703.1	XP_028860935.1
5	5	0.195	XP_012333248.1	XP_019916712.1	XP_745344.2	XP_028530338.1	XP_028864215.1
5	5	0.169	XP_012334192.1	XP_019912692.1	XP_016653103.1	XP_028526078.1	XP_028860245.1
5	5	0.103	XP_012336837.1	XP_019913206.1	XP_016653174.1	XP_028528216.1	XP_028859705.1
5	5	0.244	XP_012334208.1	XP_019912760.1	XP_016653117.1	XP_028526062.1	XP_028860261.1
5	5	0.132	XP_012338041.1	XP_019912661.1	XP_016653061.1	XP_028526180.1	XP_028860148.1
5	6	0.295	XP_012336410.1,XP_012336411.1	XP_019915580.1	XP_742969.2	XP_028526529.1	XP_028862688.1
5	5	0.301	XP_012336347.1	XP_019912860.1	XP_016653445.1	XP_028530988.1	XP_028859438.1
5	5	0.38	XP_012333749.1	XP_019914686.1	XP_746160.2	XP_028528113.1	XP_028861330.1
5	5	0.236	XP_012335515.1	XP_019912888.1	XP_735284.2	XP_028527273.1	XP_028859501.1
5	5	0.102	XP_012337289.1	XP_019915185.1	XP_736300.2	XP_028529001.1	XP_028861563.1
5	5	0.262	XP_012338062.1	XP_019915270.1	XP_742096.2	XP_028525865.1	XP_028861947.1
5	5	0.349	XP_012334599.1	XP_019915384.1	XP_016653930.1	XP_028530659.1	XP_028859822.1
5	5	0.35	XP_012336239.1	XP_019915309.1	XP_732750.2	XP_028530730.1	XP_028862068.1
5	5	0.146	XP_012333876.1	XP_019913409.1	XP_734291.2	XP_028526249.1	XP_028860404.1
5	5	0.204	XP_012335821.1	XP_019917883.1	XP_016655088.1	XP_028529905.1	XP_028864700.1
5	5	0.349	XP_012336197.1	XP_019917534.1	XP_733701.2	XP_028530569.1	XP_028864442.1
5	5	0.234	XP_012333725.1	XP_019914417.1	XP_740872.2	XP_028528139.1	XP_028861304.1
5	5	0.135	XP_012337456.1	XP_019916810.1	XP_741775.2	XP_028527473.1	XP_028863386.1
5	5	0.0995	XP_012333645.1	XP_019917376.1	XP_016655629.1	XP_028528464.1	XP_028863832.1
5	5	0.19	XP_012334151.1	XP_019912739.1	XP_016653084.1	XP_028526120.1	XP_028860205.1
5	5	0.154	XP_012337550.1	XP_019914801.1	XP_016653555.1	XP_028529284.1	XP_028861840.1
5	5	0.19	XP_012333456.1	XP_019916990.1	XP_740211.2	XP_028527781.1	XP_028863082.1
5	5	0.133	XP_012335984.1	XP_019917625.1	XP_744221.2	XP_028529874.1	XP_028864669.1
5	5	0.202	XP_012333443.1	XP_019916332.1	XP_740575.2	XP_028527793.1	XP_028863070.1
5	5	0.136	XP_012336942.1	XP_019917085.1	XP_016654930.1	XP_028530498.1	XP_028864371.1
4	6	0.472	*	XP_019915842.1,XP_019916056.1,XP_019917875.1	XP_016655017.1	XP_028529757.1	XP_028864553.1
5	5	0.233	XP_012337173.1	XP_019914687.1	XP_744901.2	XP_028527040.1	XP_028861167.1
5	5	0.184	XP_012337061.1	XP_019916179.1	XP_737776.2	XP_028527852.1	XP_028863013.1
5	5	0.252	XP_012335759.1	XP_019914730.1	XP_743322.1	XP_028529096.1	XP_028861659.1
5	5	0.301	XP_012335929.1	XP_019914041.1	XP_016653832.1	XP_028529614.1	XP_028860849.1
5	5	0.137	XP_012337691.1	XP_019915298.1	XP_731882.2	XP_028529377.1	XP_028861913.1
5	5	0.211	XP_012333442.1	XP_019916145.1	XP_016654657.1	XP_028527794.1	XP_028863069.1
5	5	0.195	XP_012335661.1	XP_019917077.1	XP_016654443.1	XP_028527423.1	XP_028863435.1
5	5	0.391	XP_012338091.1	XP_019915122.1	XP_016653521.1	XP_028529332.1	XP_028861887.1
5	5	0.21	XP_012336904.1	XP_019913699.1	XP_016655152.1	XP_028530022.1	XP_028859779.1
5	5	0.194	XP_012335286.1	XP_019915553.1	XP_016653982.1	XP_028526606.1	XP_028862615.1
5	6	0.312	XP_012335261.1,XP_012335262.1	XP_019916018.1	XP_016653969.1	XP_028526582.1	XP_028862639.1
5	5	0.289	XP_012337664.1	XP_019915749.1	XP_738471.2	XP_028526733.1	XP_028862492.1
5	5	0.325	XP_012336075.1	XP_019913099.1	XP_740009.2	XP_028527190.1	XP_028859613.1
5	5	0.279	XP_012336931.1	XP_019917675.1	XP_016654933.1	XP_028530509.1	XP_028864382.1
5	5	0.279	XP_012334327.1	XP_019913053.1	XP_732015.2	XP_028528687.1	XP_028863614.1
5	5	0.22	XP_012334099.1	XP_019912555.1	XP_740964.2	XP_028530876.1	XP_028860020.1
5	5	0.294	XP_012333420.1	XP_019916949.1	XP_016654672.1	XP_028527815.1	XP_028863049.1
5	5	0.155	XP_012333412.1	XP_019916692.1	XP_016654674.1	XP_028527821.1	XP_028863044.1
5	6	0.312	XP_012335749.1	XP_019914848.1,XP_019915114.1	XP_735966.2	XP_028529087.1	XP_028861650.1
5	5	0.204	XP_012335627.1	XP_019914604.1	XP_743001.2	XP_028526956.1	XP_028861082.1
