# Species	Genes	Alg.-Conn.	GCA_000499725.1_EBH001_protein.faa	GCF_000499385.1_ENH001_protein.faa	GCF_000499425.1_EAH001_protein.faa	GCF_000499545.2_ETH001_protein.faa	GCF_000499605.1_EMW001_protein.faa
3	4	0.192	CDJ50586.1	XP_013439403.1,XP_013439966.1	XP_013247498.1	*	*
4	4	0.135	*	XP_013437928.1	XP_013253233.1	XP_013232640.1	XP_013334865.1
4	4	0.0952	CDJ48189.1	XP_013440499.1	XP_013252710.1	XP_013236130.1	*
4	4	0.0488	CDJ48681.1	XP_013439145.1	*	XP_013234060.1	XP_013337033.1
5	5	0.0701	CDJ47316.1	XP_013433367.1	XP_013247702.1	XP_013235879.1	XP_013337030.1
4	4	0.0847	CDJ54056.1	XP_013439746.1	XP_013246742.1	XP_013229637.1	*
5	5	0.11	CDJ52474.1	XP_013433157.1	XP_013246896.1	XP_013235596.1	XP_013336544.1
5	5	0.038	CDJ46825.1	XP_013434283.1	XP_013246948.1	XP_013231525.1	XP_013338248.1
3	4	0.127	*	*	XP_013250058.1	XP_013230745.1,XP_013228153.1	XP_013335194.1
4	4	0.137	CDJ46703.1	XP_013440615.1	XP_013250016.1	*	XP_013338442.1
4	4	0.0646	*	XP_013439429.1	XP_013249404.1	XP_013233378.1	XP_013334008.1
3	4	0.136	CDJ51669.1	*	XP_013247705.1	*	XP_013338367.1,XP_013338366.1
4	4	0.0254	CDJ46217.1	XP_013435287.1	*	XP_013232629.1	XP_013338318.1
4	4	0.166	*	XP_013439657.1	XP_013249225.1	XP_013232985.1	XP_013335336.1
4	4	0.11	CDJ49066.1	XP_013434589.1	XP_013251728.1	XP_013230018.1	*
5	5	0.0479	CDJ53550.1	XP_013438937.1	XP_013251843.1	XP_013234853.1	XP_013336737.1
5	5	0.0663	CDJ48187.1	XP_013439820.1	XP_013246831.1	XP_013231332.1	XP_013338242.1
5	5	0.022	CDJ49129.1	XP_013437402.1	XP_013250035.1	XP_013228675.1	XP_013338216.1
5	5	0.0497	CDJ49236.1	XP_013437899.1	XP_013249363.1	XP_013229771.1	XP_013335640.1
4	4	0.0735	CDJ53549.1	XP_013434794.1	XP_013251841.1	*	XP_013335542.1
4	4	0.102	*	XP_013434855.1	XP_013250796.1	XP_013235360.1	XP_013333021.1
4	4	0.108	*	XP_013438436.1	XP_013251007.1	XP_013228821.1	XP_013338511.1
4	4	0.134	CDJ45733.1	XP_013435725.1	XP_013248669.1	XP_013234175.1	*
4	4	0.125	CDJ47221.1	XP_013437479.1	XP_013248791.1	*	XP_013336149.1
4	4	0.0425	*	XP_013436108.1	XP_013252763.1	XP_013229147.1	XP_013334897.1
3	4	0.132	CDJ52789.1	XP_013439368.1	XP_013248097.1,XP_013247924.1	*	*
5	5	0.049	CDJ49271.1	XP_013435216.1	XP_013252828.1	XP_013233282.1	XP_013335837.1
4	4	0.137	CDJ51108.1	XP_013437304.1	XP_013249894.1	*	XP_013335768.1
5	5	0.075	CDJ53963.1	XP_013438043.1	XP_013246678.1	XP_013232591.1	XP_013335750.1
4	4	0.114	CDJ51334.1	XP_013438545.1	XP_013248315.1	XP_013227953.1	*
4	4	0.105	CDJ45889.1	*	XP_013248535.1	XP_013236172.1	XP_013336979.1
4	4	0.0633	*	XP_013440194.1	XP_013250927.1	XP_013236214.1	XP_013335954.1
5	5	0.0683	CDJ49224.1	XP_013437468.1	XP_013246804.1	XP_013235530.1	XP_013335854.1
5	5	0.081	CDJ50174.1	XP_013433605.1	XP_013249538.1	XP_013234290.1	XP_013335304.1
4	4	0.128	CDJ50168.1	XP_013441062.1	XP_013249541.1	*	XP_013335256.1
5	5	0.0303	CDJ48577.1	XP_013438675.1	XP_013248998.1	XP_013233326.1	XP_013335088.1
4	4	0.165	CDJ50171.1	XP_013441060.1	XP_013249539.1	*	XP_013335303.1
4	4	0.0782	CDJ53742.1	XP_013434466.1	XP_013246840.1	XP_013231220.1	*
5	5	0.0377	CDJ50331.1	XP_013433909.1	XP_013249690.1	XP_013227959.1	XP_013333942.1
5	5	0.0417	CDJ51892.1	XP_013434346.1	XP_013249985.1	XP_013228875.1	XP_013334304.1
5	5	0.0473	CDJ45809.1	XP_013438725.1	XP_013246982.1	XP_013231571.1	XP_013336184.1
4	4	0.0506	CDJ47325.1	XP_013437558.1	XP_013246986.1	XP_013228576.1	*
4	4	0.0531	*	XP_013439579.1	XP_013249488.1	XP_013235936.1	XP_013337245.1
5	5	0.0807	CDJ49595.1	XP_013436188.1	XP_013251571.1	XP_013234898.1	XP_013336646.1
5	5	0.0613	CDJ47332.1	XP_013439855.1	XP_013252943.1	XP_013229012.1	XP_013336583.1
2	4	0.247	*	XP_013439545.1	*	XP_013228006.1,XP_013228007.1,XP_013228008.1	*
5	5	0.0787	CDJ52991.1	XP_013434005.1	XP_013253039.1	XP_013229289.1	XP_013337072.1
2	4	0.144	*	XP_013439558.1,XP_013439559.1	*	XP_013228015.1,XP_013228014.1	*
4	4	0.0465	CDJ47883.1	XP_013440484.1	XP_013249998.1	XP_013232662.1	*
5	5	0.035	CDJ50643.1	XP_013437153.1	XP_013246908.1	XP_013228862.1	XP_013336168.1
5	5	0.0603	CDJ51662.1	XP_013440310.1	XP_013247485.1	XP_013233848.1	XP_013338372.1
5	5	0.0261	CDJ50828.1	XP_013437292.1	XP_013252874.1	XP_013230934.1	XP_013335731.1
4	4	0.0632	CDJ47958.1	XP_013437012.1	XP_013247546.1	XP_013234793.1	*
5	5	0.0445	CDJ51591.1	XP_013438694.1	XP_013247070.1	XP_013234077.1	XP_013335862.1
4	4	0.0967	CDJ53308.1	XP_013434487.1	XP_013247635.1	*	XP_013337722.1
4	4	0.0192	CDJ52646.1	XP_013433420.1	XP_013247440.1	XP_013232085.1	*
4	4	0.0704	*	XP_013440086.1	XP_013252541.1	XP_013231535.1	XP_013338611.1
5	5	0.0249	CDJ46119.1	XP_013438651.1	XP_013247143.1	XP_013232523.1	XP_013332722.1
4	4	0.218	*	XP_013436993.1	XP_013247785.1	XP_013234100.1	XP_013332842.1
5	5	0.0304	CDJ51280.1	XP_013435514.1	XP_013246962.1	XP_013228684.1	XP_013332732.1
4	4	0.0318	CDJ50966.1	XP_013438658.1	XP_013248586.1	XP_013232529.1	*
4	4	0.0521	*	XP_013432882.1	XP_013249757.1	XP_013230790.1	XP_013335627.1
4	4	0.0963	*	XP_013440912.1	XP_013251874.1	XP_013231543.1	XP_013334369.1
5	5	0.0922	CDJ52653.1	XP_013437956.1	XP_013253155.1	XP_013234965.1	XP_013337857.1
4	4	0.11	CDJ46120.1	XP_013438650.1	*	XP_013232522.1	XP_013332721.1
5	5	0.0549	CDJ51581.1	XP_013434518.1	XP_013251957.1	XP_013236032.1	XP_013338337.1
4	4	0.0427	*	XP_013433543.1	XP_013251019.1	XP_013230750.1	XP_013334163.1
5	5	0.0756	CDJ46326.1	XP_013438284.1	XP_013253295.1	XP_013228047.1	XP_013336903.1
4	4	0.038	*	XP_013439519.1	XP_013247641.1	XP_013230962.1	XP_013335802.1
4	4	0.0616	CDJ52176.1	XP_013435802.1	XP_013247304.1	XP_013236013.1	*
5	5	0.0606	CDJ47102.1	XP_013438040.1	XP_013253008.1	XP_013235061.1	XP_013332886.1
5	5	0.0376	CDJ49226.1	XP_013441019.1	XP_013247329.1	XP_013235090.1	XP_013332743.1
5	5	0.0328	CDJ48321.1	XP_013440935.1	XP_013253167.1	XP_013228563.1	XP_013338004.1
4	4	0.0726	*	XP_013439410.1	XP_013251774.1	XP_013228350.1	XP_013338283.1
4	4	0.027	*	XP_013433677.1	XP_013246859.1	XP_013228442.1	XP_013333870.1
4	4	0.143	CDJ53875.1	*	XP_013250426.1	XP_013232043.1	XP_013337967.1
4	4	0.0618	CDJ48036.1	XP_013437091.1	*	XP_013234495.1	XP_013334084.1
4	4	0.0978	CDJ48046.1	*	XP_013250145.1	XP_013236271.1	XP_013337740.1
4	4	0.136	*	XP_013441023.1	XP_013251822.1	XP_013231240.1	XP_013335064.1
3	4	0.12	CDJ53819.1	XP_013440099.1	*	XP_013236342.1,XP_013230316.1	*
5	5	0.0526	CDJ46452.1	XP_013440670.1	XP_013246816.1	XP_013234400.1	XP_013336095.1
4	4	0.0853	CDJ53986.1	XP_013440795.1	*	XP_013231899.1	XP_013335401.1
4	4	0.0539	*	XP_013434592.1	XP_013246943.1	XP_013234236.1	XP_013335097.1
5	5	0.0895	CDJ48810.1	XP_013438968.1	XP_013250015.1	XP_013233571.1	XP_013332638.1
4	4	0.0973	CDJ50697.1	*	XP_013246722.1	XP_013234298.1	XP_013338334.1
4	4	0.0388	*	XP_013438068.1	XP_013247911.1	XP_013230124.1	XP_013332771.1
5	5	0.0657	CDJ49522.1	XP_013439027.1	XP_013246844.1	XP_013234105.1	XP_013336038.1
3	4	0.125	CDJ46156.1	XP_013439369.1	*	XP_013234086.1,XP_013232661.1	*
4	4	0.0765	*	XP_013434657.1	XP_013246632.1	XP_013235981.1	XP_013333532.1
4	4	0.0381	*	XP_013436826.1	XP_013250815.1	XP_013228386.1	XP_013336970.1
4	4	0.102	CDJ51543.1	XP_013433331.1	XP_013252885.1	*	XP_013337618.1
5	5	0.0999	CDJ47966.1	XP_013437409.1	XP_013250448.1	XP_013235316.1	XP_013338105.1
4	4	0.146	CDJ46562.1	XP_013439459.1	*	XP_013233187.1	XP_013334524.1
3	4	0.102	*	XP_013435527.1	*	XP_013228428.1,XP_013232563.1	XP_013333529.1
4	4	0.0404	CDJ51551.1	XP_013433336.1	XP_013252891.1	XP_013235708.1	*
4	4	0.0544	*	XP_013434423.1	XP_013250719.1	XP_013235465.1	XP_013336780.1
4	4	0.0352	*	XP_013437889.1	XP_013251046.1	XP_013229924.1	XP_013337685.1
5	5	0.0865	CDJ48645.1	XP_013434504.1	XP_013252032.1	XP_013227911.1	XP_013333076.1
4	4	0.0858	*	XP_013440336.1	XP_013249925.1	XP_013234815.1	XP_013334097.1
4	4	0.14	CDJ52242.1	XP_013437646.1	XP_013253194.1	*	XP_013333046.1
5	5	0.0553	CDJ49365.1	XP_013436470.1	XP_013252985.1	XP_013232695.1	XP_013333919.1
5	5	0.0389	CDJ47512.1	XP_013437839.1	XP_013249898.1	XP_013233660.1	XP_013332798.1
5	5	0.0458	CDJ51688.1	XP_013437223.1	XP_013253021.1	XP_013231782.1	XP_013335676.1
5	5	0.0801	CDJ52624.1	XP_013432799.1	XP_013251631.1	XP_013233076.1	XP_013337640.1
4	5	0.182	CDJ46788.1,CDJ46787.1	XP_013440562.1	XP_013252903.1	XP_013233640.1	*
4	4	0.0782	*	XP_013440048.1	XP_013248134.1	XP_013231741.1	XP_013333306.1
3	4	0.114	*	XP_013439458.1	XP_013251588.1,XP_013248158.1	*	XP_013336195.1
5	5	0.0409	CDJ47275.1	XP_013438371.1	XP_013250865.1	XP_013228235.1	XP_013337606.1
4	4	0.178	*	XP_013433954.1	XP_013247028.1	XP_013234341.1	XP_013337211.1
5	5	0.109	CDJ49200.1	XP_013438327.1	XP_013246740.1	XP_013235015.1	XP_013338280.1
5	5	0.0934	CDJ49735.1	XP_013437489.1	XP_013247893.1	XP_013228180.1	XP_013336132.1
5	5	0.121	CDJ50458.1	XP_013433644.1	XP_013247477.1	XP_013235691.1	XP_013335888.1
5	5	0.168	CDJ48598.1	XP_013436845.1	XP_013247835.1	XP_013231141.1	XP_013332680.1
5	5	0.0806	CDJ46696.1	XP_013436603.1	XP_013246658.1	XP_013230668.1	XP_013333974.1
5	5	0.13	CDJ50986.1	XP_013438268.1	XP_013250852.1	XP_013229028.1	XP_013333706.1
5	5	0.0716	CDJ48580.1	XP_013437522.1	XP_013253198.1	XP_013230192.1	XP_013335089.1
5	5	0.106	CDJ50193.1	XP_013433895.1	XP_013251370.1	XP_013228195.1	XP_013335454.1
5	5	0.0669	CDJ53373.1	XP_013433686.1	XP_013250319.1	XP_013228433.1	XP_013335683.1
5	5	0.0501	CDJ50808.1	XP_013438944.1	XP_013248513.1	XP_013235005.1	XP_013335737.1
3	5	0.193	CDJ50684.1,CDJ50685.1,CDJ52786.1	*	XP_013250301.1	*	XP_013335445.1
5	5	0.0676	CDJ47836.1	XP_013432663.1	XP_013249183.1	XP_013231182.1	XP_013336361.1
5	5	0.138	CDJ49379.1	XP_013436718.1	XP_013248750.1	XP_013233780.1	XP_013337931.1
5	5	0.156	CDJ52993.1	XP_013433807.1	XP_013248820.1	XP_013230712.1	XP_013337848.1
4	5	0.104	CDJ50701.1	XP_013433718.1,XP_013440468.1	XP_013252854.1	XP_013232678.1	*
5	5	0.0819	CDJ45897.1	XP_013436010.1	XP_013248598.1	XP_013231095.1	XP_013332658.1
5	5	0.0465	CDJ51452.1	XP_013435591.1	XP_013248650.1	XP_013235800.1	XP_013336628.1
5	5	0.0862	CDJ49264.1	XP_013436105.1	XP_013247940.1	XP_013233284.1	XP_013333315.1
5	5	0.144	CDJ48353.1	XP_013436031.1	XP_013252795.1	XP_013232767.1	XP_013338080.1
5	5	0.0466	CDJ51536.1	XP_013433325.1	XP_013247928.1	XP_013229784.1	XP_013338481.1
5	5	0.0779	CDJ47821.1	XP_013434490.1	XP_013249089.1	XP_013228150.1	XP_013337652.1
5	5	0.0632	CDJ46557.1	XP_013434396.1	XP_013251592.1	XP_013233180.1	XP_013334522.1
5	5	0.108	CDJ53348.1	XP_013440718.1	XP_013248518.1	XP_013230076.1	XP_013337592.1
5	5	0.068	CDJ46758.1	XP_013437245.1	XP_013248581.1	XP_013230025.1	XP_013333155.1
5	5	0.135	CDJ52100.1	XP_013437220.1	XP_013252482.1	XP_013232901.1	XP_013338411.1
5	5	0.0743	CDJ52161.1	XP_013439188.1	XP_013252571.1	XP_013233028.1	XP_013335996.1
5	5	0.0917	CDJ50288.1	XP_013433028.1	XP_013251285.1	XP_013231868.1	XP_013338287.1
5	5	0.0549	CDJ52424.1	XP_013436177.1	XP_013251087.1	XP_013229952.1	XP_013336801.1
5	5	0.033	CDJ50044.1	XP_013439243.1	XP_013251298.1	XP_013229179.1	XP_013335972.1
5	5	0.0192	CDJ50892.1	XP_013437608.1	XP_013251226.1	XP_013236210.1	XP_013336111.1
5	5	0.0752	CDJ53074.1	XP_013440588.1	XP_013251256.1	XP_013235538.1	XP_013336115.1
5	5	0.182	CDJ52978.1	XP_013440746.1	XP_013247556.1	XP_013232391.1	XP_013337188.1
5	5	0.0493	CDJ49445.1	XP_013436200.1	XP_013253306.1	XP_013235758.1	XP_013336222.1
5	5	0.0524	CDJ54297.1	XP_013438671.1	XP_013250206.1	XP_013234084.1	XP_013336563.1
5	5	0.126	CDJ46889.1	XP_013439308.1	XP_013250439.1	XP_013230058.1	XP_013337167.1
5	5	0.0923	CDJ51465.1	XP_013436559.1	XP_013251873.1	XP_013234474.1	XP_013334370.1
5	5	0.0892	CDJ49081.1	XP_013434511.1	XP_013248069.1	XP_013233957.1	XP_013336938.1
5	5	0.153	CDJ51521.1	XP_013440155.1	XP_013249378.1	XP_013230921.1	XP_013334286.1
5	5	0.104	CDJ49217.1	XP_013439371.1	XP_013248273.1	XP_013229322.1	XP_013337729.1
5	5	0.0735	CDJ45730.1	XP_013438249.1	XP_013247762.1	XP_013235880.1	XP_013337335.1
5	5	0.106	CDJ51548.1	XP_013433334.1	XP_013252889.1	XP_013229781.1	XP_013337613.1
5	5	0.126	CDJ52622.1	XP_013432797.1	XP_013248860.1	XP_013233074.1	XP_013337638.1
5	5	0.0742	CDJ47089.1	XP_013438878.1	XP_013251552.1	XP_013231643.1	XP_013332895.1
5	5	0.092	CDJ53997.1	XP_013435451.1	XP_013253067.1	XP_013230200.1	XP_013334793.1
5	5	0.12	CDJ53959.1	XP_013437530.1	XP_013246677.1	XP_013229426.1	XP_013333231.1
5	5	0.098	CDJ48376.1	XP_013436019.1	XP_013250216.1	XP_013232781.1	XP_013334037.1
5	5	0.0398	CDJ50907.1	XP_013438614.1	XP_013252095.1	XP_013235959.1	XP_013334255.1
5	5	0.103	CDJ51923.1	XP_013439648.1	XP_013247324.1	XP_013232103.1	XP_013333571.1
5	5	0.0556	CDJ47035.1	XP_013436455.1	XP_013247248.1	XP_013228800.1	XP_013336456.1
5	5	0.0505	CDJ47805.1	XP_013435644.1	XP_013252175.1	XP_013229049.1	XP_013337159.1
5	5	0.108	CDJ49339.1	XP_013433478.1	XP_013252671.1	XP_013229696.1	XP_013332613.1
5	5	0.111	CDJ47067.1	XP_013435348.1	XP_013252498.1	XP_013228758.1	XP_013333691.1
5	5	0.126	CDJ50677.1	XP_013435684.1	XP_013251867.1	XP_013228318.1	XP_013333094.1
5	5	0.115	CDJ50447.1	XP_013435319.1	XP_013248344.1	XP_013229823.1	XP_013333257.1
5	5	0.103	CDJ53994.1	XP_013437605.1	XP_013247824.1	XP_013234131.1	XP_013333722.1
5	5	0.105	CDJ52090.1	XP_013437700.1	XP_013252600.1	XP_013232439.1	XP_013334822.1
5	5	0.101	CDJ50369.1	XP_013433293.1	XP_013252378.1	XP_013228830.1	XP_013333144.1
5	5	0.0706	CDJ51740.1	XP_013434719.1	XP_013249648.1	XP_013234695.1	XP_013333626.1
5	5	0.037	CDJ48818.1	XP_013438966.1	XP_013251378.1	XP_013233573.1	XP_013332644.1
5	5	0.0624	CDJ49781.1	XP_013435530.1	XP_013246494.1	XP_013232566.1	XP_013333780.1
5	5	0.0819	CDJ47095.1	XP_013433546.1	XP_013246775.1	XP_013231646.1	XP_013332891.1
5	5	0.0866	CDJ46631.1	XP_013433793.1	XP_013249968.1	XP_013231291.1	XP_013336394.1
5	5	0.118	CDJ51837.1	XP_013436931.1	XP_013249608.1	XP_013229843.1	XP_013333635.1
5	5	0.0781	CDJ50809.1	XP_013436631.1	XP_013250561.1	XP_013236191.1	XP_013333669.1
5	5	0.115	CDJ50158.1	XP_013435718.1	XP_013250674.1	XP_013234182.1	XP_013333214.1
5	5	0.101	CDJ50728.1	XP_013437107.1	XP_013253277.1	XP_013233998.1	XP_013334010.1
5	5	0.0496	CDJ46905.1	XP_013438482.1	XP_013249154.1	XP_013232114.1	XP_013334940.1
5	5	0.0526	CDJ53122.1	XP_013435159.1	XP_013246639.1	XP_013233650.1	XP_013334922.1
5	5	0.092	CDJ47686.1	XP_013433863.1	XP_013250596.1	XP_013233453.1	XP_013333003.1
5	5	0.186	CDJ50097.1	XP_013436269.1	XP_013249422.1	XP_013229548.1	XP_013334582.1
5	5	0.0252	CDJ47652.1	XP_013440922.1	XP_013251661.1	XP_013228550.1	XP_013333392.1
5	5	0.126	CDJ49664.1	XP_013437669.1	XP_013247757.1	XP_013228546.1	XP_013336520.1
5	5	0.0447	CDJ48263.1	XP_013434667.1	XP_013251024.1	XP_013228635.1	XP_013336830.1
5	5	0.122	CDJ47641.1	XP_013437728.1	XP_013249574.1	XP_013233244.1	XP_013333162.1
5	8	0.159	CDJ54258.1,CDJ49087.1	XP_013433612.1,XP_013433215.1	XP_013249564.1	XP_013233960.1,XP_013233967.1	XP_013335109.1
4	4	0.198	CDJ47705.1	XP_013438690.1	XP_013250272.1	*	XP_013337693.1
3	3	0.224	CDJ50566.1	*	*	XP_013231658.1	XP_013333675.1
4	4	0.153	CDJ50371.1	XP_013435905.1	*	XP_013231636.1	XP_013336040.1
3	3	0.104	*	XP_013432664.1	*	XP_013231181.1	XP_013335918.1
4	4	0.169	CDJ45789.1	XP_013437947.1	XP_013250667.1	*	XP_013337714.1
3	3	0.21	*	XP_013438300.1	XP_013252445.1	XP_013230292.1	*
3	3	0.23	*	XP_013438299.1	XP_013252444.1	XP_013230293.1	*
3	3	0.255	CDJ46599.1	*	XP_013253137.1	*	XP_013337855.1
3	3	0.0876	*	XP_013440473.1	XP_013252327.1	XP_013232673.1	*
4	4	0.0757	*	XP_013436929.1	XP_013252306.1	XP_013230421.1	XP_013337471.1
3	3	0.329	CDJ49564.1	*	XP_013248971.1	*	XP_013337753.1
3	3	0.176	*	XP_013437708.1	XP_013252181.1	XP_013232447.1	*
3	3	0.173	*	XP_013437952.1	XP_013252031.1	XP_013234361.1	*
3	3	0.298	*	XP_013437953.1	XP_013252030.1	XP_013227910.1	*
3	3	0.196	*	XP_013437282.1	XP_013252016.1	XP_013230927.1	*
3	3	0.273	CDJ50029.1	*	XP_013248296.1	*	XP_013337830.1
3	3	0.237	CDJ46828.1	*	XP_013251041.1	*	XP_013332982.1
4	4	0.11	CDJ50872.1	*	XP_013250630.1	XP_013230270.1	XP_013337128.1
4	4	0.132	CDJ51881.1	XP_013434643.1	XP_013251834.1	XP_013231684.1	*
3	3	0.259	CDJ48794.1	*	XP_013252233.1	*	XP_013333472.1
4	4	0.111	CDJ53151.1	XP_013434163.1	XP_013252938.1	XP_013230473.1	*
4	4	0.171	CDJ52063.1	XP_013433745.1	XP_013249559.1	XP_013233948.1	*
