# Species	Genes	Alg.-Conn.	GCF_000208865.1_ASM20886v2_protein.faa	GCF_001601855.1_ASM160185v1_protein.faa	GCF_002563875.1_Bbes1.0_protein.faa	GCF_900002375.2_GCA_900002375_protein.faa	GCF_900005765.1_PRELSG_protein.faa
5	5	0.0649	XP_003880345.1	XP_012763751.2	XP_029216740.1	XP_034421486.1	XP_028533226.1
5	5	0.0855	XP_003879639.1	XP_012763870.2	XP_029216428.1	XP_034421368.1	XP_028533347.1
5	5	0.0605	XP_003883135.1	XP_012763909.2	XP_029217418.1	XP_034420520.1	XP_028535670.1
4	4	0.123	*	XP_012764197.2	XP_029218634.1	XP_034424303.1	XP_028535278.1
5	5	0.0703	XP_003885209.1	XP_012763953.2	XP_029218224.1	XP_034420562.1	XP_028531066.1
5	5	0.0749	XP_003879551.1	XP_012763520.2	XP_029222795.1	XP_034421711.1	XP_028532991.1
5	5	0.0721	XP_003885579.1	XP_012762368.2	XP_029218883.1	XP_034419860.1	XP_028535637.1
5	5	0.0836	XP_003879627.1	XP_019970888.1	XP_029216415.1	XP_034419978.1	XP_028531733.1
5	5	0.0372	XP_003880686.1	XP_012765414.2	XP_029220316.1	XP_034420620.1	XP_028535790.1
4	4	0.064	XP_003880139.1	*	XP_029219353.1	XP_034420805.1	XP_028535719.1
5	5	0.0524	XP_003880546.1	XP_019969758.1	XP_029220161.1	XP_034421585.1	XP_028533121.1
5	5	0.0644	XP_003884767.1	XP_012763585.2	XP_029221105.1	XP_034421648.1	XP_028533056.1
5	5	0.0586	XP_003879657.1	XP_012765214.2	XP_029215578.1	XP_034422076.1	XP_028535993.1
4	4	0.0821	XP_003885466.1	*	XP_029217658.1	XP_034422729.1	XP_028532625.1
5	5	0.0743	XP_003885844.1	XP_012761748.1	XP_029221419.1	XP_034423057.1	XP_028533432.1
5	5	0.0435	XP_003881197.1	XP_012765515.2	XP_029216082.1	XP_034423262.1	XP_028534454.1
5	5	0.0463	XP_003882654.1	XP_012765724.2	XP_029221697.1	XP_034423471.1	XP_028534243.1
5	5	0.0746	XP_003879822.1	XP_019970249.1	XP_029215767.1	XP_034424386.1	XP_028535362.1
5	5	0.0357	XP_003883852.1	XP_012761919.2	XP_029219734.1	XP_034419687.1	XP_028534033.1
2	4	0.142	XP_003883234.1,XP_003880337.1	*	XP_029216371.1,XP_029215621.1	*	*
5	5	0.12	XP_003883529.1	XP_012765362.2	XP_029222537.1	XP_034421932.1	XP_028535844.1
5	5	0.0664	XP_003879861.1	XP_012765360.2	XP_029215809.1	XP_034421934.1	XP_028535846.1
2	4	0.247	XP_003886372.1,XP_003886373.1,XP_003886396.1	*	XP_029220742.1	*	*
5	5	0.0655	XP_003883515.1	XP_012765181.2	XP_029222549.1	XP_034422107.1	XP_028536026.1
5	5	0.0648	XP_003881185.1	XP_012765730.2	XP_029219813.1	XP_034423476.1	XP_028534237.1
2	4	0.244	XP_003879749.1	*	XP_029218131.1,XP_029218132.1,XP_029221310.1	*	*
5	5	0.0613	XP_003882198.1	XP_012765495.2	XP_029220072.1	XP_034423242.1	XP_028534474.1
5	5	0.0647	XP_003881169.1	XP_012762196.2	XP_029216088.1	XP_034422883.1	XP_028531440.1
5	5	0.0467	XP_003884437.1	XP_019970545.1	XP_029217763.1	XP_034422938.1	XP_028531495.1
5	5	0.0558	XP_003884276.1	XP_012762106.2	XP_029219170.1	XP_034422490.1	XP_028533844.1
2	4	0.24	XP_003881503.1	*	XP_029220559.1,XP_029220560.1,XP_029220562.1	*	*
5	5	0.0601	XP_003884525.1	XP_012762913.2	XP_029219859.1	XP_034421221.1	XP_028532457.1
2	4	0.236	*	XP_012764896.2	*	*	XP_028531054.1,XP_028531143.1,XP_028531321.1
5	5	0.106	XP_003884613.1	XP_019969750.1	XP_029221267.1	XP_034424122.1	XP_028535089.1
5	5	0.0527	XP_003882968.1	XP_019970814.1	XP_029221958.1	XP_034420115.1	XP_028532857.1
5	5	0.0588	XP_003883065.1	XP_012763836.2	XP_029217228.1	XP_034421402.1	XP_028533313.1
5	5	0.0544	XP_003882182.1	XP_012762586.2	XP_029220126.1	XP_034420853.1	XP_028531891.1
5	5	0.0502	XP_003885950.1	XP_012763319.2	XP_029222291.1	XP_034420365.1	XP_028532152.1
5	5	0.0427	XP_003883496.1	XP_012762539.2	XP_029222570.1	XP_034424045.1	XP_028535011.1
5	5	0.0571	XP_003881138.1	XP_019970237.1	XP_029216116.1	XP_034424348.1	XP_028535323.1
5	5	0.0551	XP_003885770.1	XP_012763753.2	XP_029221496.1	XP_034421485.1	XP_028533228.1
5	5	0.0538	XP_003882085.1	XP_012761624.1	XP_029216843.1	XP_034422312.1	XP_028533563.1
5	5	0.0777	XP_003883947.1	XP_012765247.1	XP_029219623.1	XP_034422043.1	XP_028535960.1
5	5	0.0666	XP_003881000.1	XP_012763719.2	XP_029220628.1	XP_034421517.1	XP_028533193.1
5	5	0.0395	XP_003879638.1	XP_019970030.1	XP_029216427.1	XP_034423493.1	XP_028534219.1
5	5	0.0627	XP_003883228.1	XP_012765461.2	XP_029217525.1	XP_034423209.1	XP_028534509.1
5	5	0.0565	XP_003880998.1	XP_012764804.2	XP_029220631.1	XP_034423723.1	XP_028534655.1
5	5	0.0634	XP_003883098.1	XP_012764535.2	XP_029217195.1	XP_034423962.1	XP_028534925.1
5	5	0.083	XP_003882774.1	XP_012762234.2	XP_029221837.1	XP_034424038.1	XP_028535004.1
5	5	0.0726	XP_003885149.1	XP_019970201.1	XP_029218156.1	XP_034424160.1	XP_028535127.1
4	4	0.0539	XP_003882469.1	*	XP_029215185.1	XP_034424333.1	XP_028535309.1
5	5	0.0565	XP_003886113.1	XP_012764250.1	XP_029222116.1	XP_034424357.1	XP_028535333.1
5	5	0.0551	XP_003881240.1	XP_019970932.1	XP_029216032.1	XP_034419785.1	XP_028535557.1
4	4	0.0883	XP_003885682.1	*	XP_029221588.1	XP_034420603.1	XP_028535773.1
5	5	0.0527	XP_003880339.1	XP_012765136.1	XP_029215217.1	XP_034422149.1	XP_028536068.1
5	5	0.045	XP_003880970.1	XP_012765562.2	XP_029220658.1	XP_034423308.1	XP_028534407.1
5	5	0.0634	XP_003883219.1	XP_012765530.2	XP_029217513.1	XP_034423276.1	XP_028534439.1
5	5	0.0564	XP_003884605.1	XP_012761260.2	XP_029221274.1	XP_034421034.1	XP_028532771.1
5	5	0.0336	XP_003881105.1	XP_012762710.2	XP_029216153.1	XP_034420235.1	XP_028532250.1
4	4	0.0867	XP_003881003.1	*	XP_029220624.1	XP_034420096.1	XP_028532878.1
5	5	0.0634	XP_003884068.1	XP_019970114.1	XP_029218430.1	XP_034423671.1	XP_028534709.1
5	5	0.0553	XP_003881745.1	XP_019970797.1	XP_029218814.1	XP_034420955.1	XP_028531994.1
5	5	0.0628	XP_003880323.1	XP_012763252.2	XP_029215199.1	XP_034420298.1	XP_028532084.1
5	5	0.0426	XP_003886079.1	XP_012761602.2	XP_029222154.1	XP_034422290.1	XP_028533587.1
5	5	0.0661	XP_003884760.1	XP_012763112.1	XP_029221114.1	XP_034422734.1	XP_028532630.1
5	5	0.044	XP_003883919.1	XP_012761699.2	XP_029219639.1	XP_034423011.1	XP_028533481.1
5	5	0.0945	XP_003879658.1	XP_012761772.2	XP_029215579.1	XP_034423081.1	XP_028533407.1
5	5	0.0782	XP_003882923.1	XP_012765634.2	XP_029222007.1	XP_034423380.1	XP_028534334.1
5	5	0.0789	XP_003883610.1	XP_019969945.1	XP_029222452.1	XP_034422017.1	XP_028535933.1
5	5	0.0622	XP_003881763.1	XP_012760837.2	XP_029217551.1	XP_034419775.1	XP_028535546.1
5	5	0.0454	XP_003885475.1	XP_012763516.2	XP_029217648.1	XP_034421715.1	XP_028532987.1
5	5	0.0428	XP_003883407.1	XP_012764759.2	XP_029222665.1	XP_034423680.1	XP_028534700.1
5	5	0.0563	XP_003882349.1	XP_012763978.2	XP_029218496.1	XP_034420586.1	XP_028533682.1
5	5	0.0831	XP_003883025.1	XP_012764320.2	XP_029217268.1	XP_034424419.1	XP_028535396.1
5	5	0.0673	XP_003880108.1	XP_012761428.1	XP_029217788.1	XP_034420908.1	XP_028531946.1
5	5	0.0402	XP_003881042.1	XP_019970532.1	XP_029216220.1	XP_034421329.1	XP_028532567.1
5	5	0.0666	XP_003882005.1	XP_012761896.2	XP_029220434.1	XP_034419665.1	XP_028534055.1
5	5	0.075	XP_003881519.1	XP_019970386.1	XP_029216275.1	XP_034422716.1	XP_028532613.1
5	5	0.0618	XP_003879977.1	XP_012764784.2	XP_029215932.1	XP_034423704.1	XP_028534675.1
5	5	0.0535	XP_003880827.1	XP_019970269.1	XP_029220868.1	XP_034424434.1	XP_028535414.1
5	5	0.0537	XP_003880900.1	XP_012762835.1	XP_029220767.1	XP_034421143.1	XP_028532379.1
5	5	0.13	XP_003884288.1	XP_019970390.1	XP_029219184.1	XP_034422720.1	XP_028532617.1
5	5	0.0761	XP_003881715.1	XP_012765243.2	XP_029218847.1	XP_034422047.1	XP_028535964.1
4	4	0.078	XP_003883171.1	XP_019970859.1	XP_029217466.1	*	XP_028531848.1
5	5	0.0434	XP_003881104.1	XP_012761952.2	XP_029216154.1	XP_034419719.1	XP_028534000.1
4	6	0.109	XP_003883345.1,XP_003880125.1	*	XP_029217769.1,XP_029222736.1	XP_034420152.1	XP_028532819.1
5	7	0.155	XP_003886264.1	XP_012763050.1,XP_012763049.2,XP_019969783.1	XP_029215471.1	XP_034424098.1	XP_028535065.1
5	7	0.12	XP_003882535.1	XP_012765142.2,XP_012765143.2,XP_012765144.1	XP_029216780.1	XP_034422143.1	XP_028536062.1
5	5	0.12	XP_003883506.1	XP_012763815.1	XP_029222560.1	XP_034421423.1	XP_028533292.1
5	5	0.084	XP_003880054.1	XP_012762357.2	XP_029217848.1	XP_034419849.1	XP_028535626.1
5	5	0.126	XP_003881512.1	XP_012760824.2	XP_029216267.1	XP_034419787.1	XP_028535560.1
5	5	0.0871	XP_003884092.1	XP_019970405.1	XP_029218963.1	XP_034422769.1	XP_028532665.1
5	5	0.128	XP_003881543.1	XP_012762982.1	XP_029220540.1	XP_034421291.1	XP_028532528.1
5	5	0.172	XP_003884806.1	XP_012760807.2	XP_029221065.1	XP_034419804.1	XP_028535576.1
5	5	0.144	XP_003886257.1	XP_012762299.1	XP_029215481.1	XP_034420694.1	XP_028535476.1
5	5	0.102	XP_003879955.1	XP_012765133.2	XP_029215906.1	XP_034422152.1	XP_028536071.1
5	5	0.145	XP_003879596.1	XP_012762229.2	XP_029217082.1	XP_034424033.1	XP_028534999.1
5	5	0.141	XP_003885369.1	XP_012765659.1	XP_029218406.1	XP_034423405.1	XP_028534308.1
5	5	0.0804	XP_003884142.1	XP_012765087.2	XP_029219020.1	XP_034422195.1	XP_028536118.1
5	5	0.082	XP_003880460.1	XP_019970574.1	XP_029216619.1	XP_034420867.1	XP_028531905.1
5	5	0.102	XP_003882840.1	XP_012763145.1	XP_029221906.1	XP_034422770.1	XP_028532666.1
5	5	0.112	XP_003882142.1	XP_012764147.2	XP_029216901.1	XP_034424250.1	XP_028535221.1
5	5	0.0873	XP_003885434.1	XP_012763989.2	XP_029217694.1	XP_034420598.1	XP_028535768.1
5	5	0.0822	XP_003881601.1	XP_012761424.2	XP_029218679.1	XP_034420904.1	XP_028531942.1
5	5	0.131	XP_003886428.1	XP_012765223.1	XP_029215404.1	XP_034422067.1	XP_028535984.1
5	5	0.109	XP_003885798.1	XP_019970631.1	XP_029221467.1	XP_034420717.1	XP_028531649.1
5	5	0.167	XP_003880707.1	XP_012762136.2	XP_029216363.1	XP_034420982.1	XP_028531375.1
5	5	0.111	XP_003883343.1	XP_012761134.2	XP_029222737.1	XP_034420100.1	XP_028532874.1
5	5	0.127	XP_003884919.1	XP_012763339.2	XP_029217970.1	XP_034420385.1	XP_028532174.1
5	5	0.101	XP_003882043.1	XP_012761776.1	XP_029220463.1	XP_034423085.1	XP_028533403.1
5	5	0.0842	XP_003881198.1	XP_012765551.2	XP_029216081.1	XP_034423297.1	XP_028534418.1
5	5	0.102	XP_003885827.1	XP_012764957.1	XP_029221435.1	XP_034422562.1	XP_028533770.1
5	5	0.0967	XP_003879954.1	XP_012765148.2	XP_029215905.1	XP_034422140.1	XP_028536060.1
5	5	0.118	XP_003883106.1	XP_012765038.2	XP_029217188.1	XP_034422640.1	XP_028531300.1
5	5	0.154	XP_003883170.1	XP_012762130.1	XP_029217465.1	XP_034420976.1	XP_028531369.1
5	5	0.126	XP_003884659.1	XP_012765645.2	XP_029221223.1	XP_034423391.1	XP_028534322.1
5	5	0.121	XP_003881740.1	XP_012764324.2	XP_029218821.1	XP_034424423.1	XP_028535401.1
5	5	0.134	XP_003885191.1	XP_012761371.2	XP_029218207.1	XP_034421855.1	XP_028531576.1
5	5	0.118	XP_003883494.1	XP_012763320.2	XP_029222573.1	XP_034420366.1	XP_028532153.1
5	5	0.151	XP_003883901.1	XP_012762928.2	XP_029219684.1	XP_034421235.1	XP_028532472.1
5	5	0.0989	XP_003885025.1	XP_019970116.1	XP_029218020.1	XP_034423674.1	XP_028534706.1
5	5	0.0933	XP_003882304.1	XP_012765231.1	XP_029219516.1	XP_034422059.1	XP_028535976.1
5	11	0.208	XP_003881334.1,XP_003882667.1,XP_003885681.1	XP_012763908.1	XP_029215557.1,XP_029221708.1,XP_029221589.1	XP_034420519.1,XP_034420874.1	XP_028535669.1,XP_028531912.1
5	5	0.11	XP_003885253.1	XP_012760973.2	XP_029218272.1	XP_034419949.1	XP_028531791.1
5	5	0.104	XP_003882046.1	XP_012762817.2	XP_029220466.1	XP_034421125.1	XP_028532361.1
5	5	0.128	XP_003880990.1	XP_019970568.1	XP_029220638.1	XP_034420883.1	XP_028531921.1
5	5	0.144	XP_003880979.1	XP_012765051.2	XP_029220650.1	XP_034422653.1	XP_028531287.1
5	5	0.0805	XP_003883035.1	XP_012762317.2	XP_029217258.1	XP_034420712.1	XP_028531644.1
5	5	0.106	XP_003884974.1	XP_012761236.2	XP_029217908.1	XP_034420201.1	XP_028531768.1
5	5	0.11	XP_003879899.1	XP_012762000.2	XP_029215848.1	XP_034422385.1	XP_028533950.1
5	5	0.136	XP_003884776.1	XP_012764622.2	XP_029221096.1	XP_034423550.1	XP_028534158.1
5	5	0.112	XP_003886374.1	XP_012764672.1	XP_029215356.1	XP_034423600.1	XP_028534779.1
5	5	0.126	XP_003882960.1	XP_012761702.2	XP_029221967.1	XP_034423014.1	XP_028533478.1
5	5	0.105	XP_003883405.1	XP_012761537.2	XP_029222667.1	XP_034422225.1	XP_028533654.1
5	5	0.0535	XP_003879803.1	XP_012763133.2	XP_029215748.1	XP_034422757.1	XP_028532653.1
5	5	0.121	XP_003883739.1	XP_012762104.2	XP_029215094.1	XP_034422488.1	XP_028533846.1
5	5	0.107	XP_003882076.1	XP_012761961.1	XP_029220501.1	XP_034422969.1	XP_028533990.1
5	5	0.105	XP_003881236.1	XP_019970833.1	XP_029216036.1	XP_034420175.1	XP_028532796.1
5	5	0.115	XP_003883113.1	XP_012761760.1	XP_029217180.1	XP_034423069.1	XP_028533420.1
5	5	0.0927	XP_003879913.1	XP_012762036.2	XP_029215866.1	XP_034422421.1	XP_028533914.1
5	5	0.122	XP_003883603.1	XP_019969695.1	XP_029222458.1	XP_034423285.1	XP_028534430.1
5	5	0.138	XP_003881935.1	XP_012762971.1	XP_029220364.1	XP_034421279.1	XP_028532515.1
5	5	0.095	XP_003884716.1	XP_012762676.1	XP_029221164.1	XP_034420762.1	XP_028535763.1
5	5	0.143	XP_003884285.1	XP_019970041.1	XP_029219179.1	XP_034423165.1	XP_028534553.1
5	5	0.114	XP_003882998.1	XP_012764257.2	XP_029221922.1	XP_034424365.1	XP_028535340.1
5	5	0.0693	XP_003883823.1	XP_012763948.2	XP_029221283.1	XP_034420558.1	XP_028535708.1
5	5	0.162	XP_003879829.1	XP_019970000.1	XP_029215772.1	XP_034423282.1	XP_028534433.1
5	5	0.084	XP_003882546.1	XP_012764135.2	XP_029216766.1	XP_034424239.1	XP_028535209.1
5	5	0.109	XP_003884374.1	XP_012760923.1	XP_029219293.1	XP_034419904.1	XP_028531836.1
5	5	0.0891	XP_003881937.1	XP_012760933.2	XP_029220366.1	XP_034419913.1	XP_028531826.1
5	5	0.0751	XP_003879804.1	XP_012763011.2	XP_029215749.1	XP_034421320.1	XP_028532557.1
5	5	0.0881	XP_003885479.1	XP_012764909.2	XP_029217644.1	XP_034422515.1	XP_028533818.1
5	5	0.184	XP_003881801.1	XP_012764777.2	XP_029216962.1	XP_034423697.1	XP_028534682.1
5	5	0.0981	XP_003881220.1	XP_012764407.2	XP_029216056.1	XP_034423833.1	XP_028534795.1
5	5	0.11	XP_003883158.1	XP_012761452.1	XP_029217449.1	XP_034420932.1	XP_028531971.1
5	5	0.19	XP_003885409.1	XP_012761601.2	XP_029219930.1	XP_034422289.1	XP_028533588.1
5	5	0.18	XP_003883059.1	XP_012763276.2	XP_029217235.1	XP_034420322.1	XP_028532109.1
5	5	0.255	XP_003882223.1	XP_019969948.1	XP_029220045.1	XP_034422008.1	XP_028535924.1
5	5	0.132	XP_003884715.1	XP_012764525.2	XP_029221165.1	XP_034423952.1	XP_028534915.1
5	5	0.124	XP_003884162.1	XP_012761148.2	XP_029219042.1	XP_034420113.1	XP_028532860.1
5	9	0.162	XP_003885486.1,XP_003885488.1,XP_003885476.1	XP_012762535.2	XP_029217633.1,XP_029217635.1,XP_029217647.1	XP_034424049.1	XP_028535015.1
5	7	0.115	XP_003884664.1,XP_003880907.1	XP_012761422.2	XP_029220762.1,XP_029221218.1	XP_034420902.1	XP_028531940.1
5	7	0.109	XP_003886115.1,XP_003885765.1	XP_012763782.1	XP_029221501.1,XP_029222226.1	XP_034421456.1	XP_028533259.1
3	3	0.299	*	XP_012762919.2	*	XP_034421227.1	XP_028532463.1
3	3	0.281	*	XP_012761175.2	*	XP_034420140.1	XP_028532832.1
3	3	0.301	*	XP_012764108.2	*	XP_034424213.1	XP_028535182.1
3	3	0.217	*	XP_012763186.2	*	XP_034422811.1	XP_028532707.1
3	3	0.299	*	XP_012763183.2	*	XP_034422808.1	XP_028532704.1
3	3	0.328	*	XP_012761821.2	*	XP_034423130.1	XP_028533355.1
3	3	0.322	*	XP_019970531.1	*	XP_034421321.1	XP_028532558.1
3	3	0.263	*	XP_012763000.2	*	XP_034421309.1	XP_028532546.1
3	3	0.322	*	XP_019970521.1	*	XP_034421293.1	XP_028532530.1
3	3	0.297	*	XP_012762966.2	*	XP_034421274.1	XP_028532510.1
3	3	0.329	*	XP_012763321.2	*	XP_034420367.1	XP_028532154.1
3	3	0.331	*	XP_012765211.2	*	XP_034422079.1	XP_028535996.1
3	3	0.263	*	XP_012762823.2	*	XP_034421131.1	XP_028532367.1
3	3	0.263	*	XP_012762791.2	*	XP_034421098.1	XP_028532333.1
5	6	0.17	XP_003881161.1,XP_003880775.1	XP_012762749.2	XP_029216302.1	XP_034421060.1	XP_028532291.1
3	3	0.32	*	XP_012761540.2	*	XP_034422228.1	XP_028533651.1
4	4	0.149	XP_003884215.1	XP_012763624.2	*	XP_034421611.1	XP_028533095.1
3	3	0.327	*	XP_012763381.2	*	XP_034420425.1	XP_028532217.1
3	3	0.243	*	XP_019969776.1	*	XP_034420361.1	XP_028532148.1
3	3	0.167	*	XP_012763348.2	*	XP_034420394.1	XP_028532183.1
3	3	0.331	*	XP_012763217.2	*	XP_034420263.1	XP_028532048.1
2	3	0.328	*	XP_019970016.1	*	XP_034423423.1,XP_034423429.1	*
3	3	0.294	*	XP_012761375.2	*	XP_034421859.1	XP_028531580.1
3	3	0.318	*	XP_019970402.1	*	XP_034422766.1	XP_028532662.1
3	3	0.184	*	XP_012763864.2	*	XP_034421374.1	XP_028533341.1
3	3	0.32	*	XP_012761595.2	*	XP_034422283.1	XP_028533594.1
3	3	0.331	*	XP_019970350.1	*	XP_034421477.1	XP_028533237.1
3	3	0.307	*	XP_012765292.2	*	XP_034421999.1	XP_028535915.1
3	3	0.314	*	XP_012761618.2	*	XP_034422306.1	XP_028533570.1
3	3	0.301	*	XP_012761823.1	*	XP_034423132.1	XP_028533353.1
3	3	0.264	XP_003879701.1	*	XP_029215635.1	*	XP_028533748.1
4	4	0.154	XP_003885463.1	XP_012761762.2	*	XP_034423071.1	XP_028533417.1
3	3	0.312	*	XP_012761368.2	*	XP_034421852.1	XP_028531573.1
5	7	0.106	XP_003883738.1,XP_003882344.1	XP_012761379.2	XP_029215093.1,XP_029218492.1	XP_034421863.1	XP_028531584.1
3	4	0.489	*	XP_012762977.2,XP_019970519.1	*	XP_034421285.1	XP_028532522.1
3	3	0.259	*	XP_012764022.2	*	XP_034424130.1	XP_028535097.1
3	3	0.281	*	XP_019970371.1	*	XP_034421382.1	XP_028533333.1
3	3	0.267	*	XP_012763344.1	*	XP_034420390.1	XP_028532179.1
3	3	0.298	*	XP_012763763.2	*	XP_034421475.1	XP_028533239.1
2	3	0.333	XP_003882391.1,XP_003882392.1	*	XP_029218549.1	*	*
3	3	0.296	*	XP_012763581.2	*	XP_034421651.1	XP_028533052.1
3	3	0.321	*	XP_019969963.1	*	XP_034421964.1	XP_028535878.1
3	3	0.333	*	XP_012763536.1	*	XP_034421695.1	XP_028533008.1
4	4	0.117	XP_003885640.1	XP_012764358.2	*	XP_034424455.1	XP_028535437.1
3	3	0.305	*	XP_012761166.2	*	XP_034420131.1	XP_028532841.1
3	3	0.313	*	XP_012761498.2	*	XP_034420464.1	XP_028532014.1
3	3	0.297	*	XP_012762142.2	*	XP_034420988.1	XP_028531381.1
3	3	0.236	*	XP_019969810.1	*	XP_034420642.1	XP_028531623.1
3	3	0.322	*	XP_012761374.2	*	XP_034421858.1	XP_028531579.1
2	3	0.325	XP_003886052.1	*	XP_029221647.1,XP_029221648.1	*	*
3	4	0.229	*	XP_012763508.2	*	XP_034421724.1,XP_034421723.1	XP_028532979.1
3	3	0.252	*	XP_019970611.1	*	XP_034422886.1	XP_028531443.1
2	3	0.327	XP_003884502.1	*	XP_029219887.1,XP_029219889.1	*	*
5	7	0.116	XP_003881111.1	XP_012765110.2,XP_012765109.2,XP_019969910.1	XP_029216146.1	XP_034422174.1	XP_028536096.1
4	4	0.173	XP_003882443.1	XP_012762897.2	XP_029218602.1	XP_034421205.1	*
4	4	0.243	XP_003886071.1	XP_012765337.2	*	XP_034421956.1	XP_028535869.1
3	3	0.319	*	XP_012764239.2	*	XP_034424347.1	XP_028535322.1
3	3	0.313	*	XP_012765168.2	*	XP_034422120.1	XP_028536039.1
3	3	0.293	*	XP_012762314.2	*	XP_034420709.1	XP_028531641.1
5	7	0.106	XP_003881257.1,XP_003883478.1	XP_012764629.1	XP_029216014.1,XP_029222585.1	XP_034423557.1	XP_028534151.1
3	3	0.32	*	XP_012765758.2	*	XP_034423504.1	XP_028534208.1
3	3	0.307	*	XP_012762707.2	*	XP_034420238.1	XP_028532247.1
3	3	0.328	*	XP_012765106.2	*	XP_034422177.1	XP_028536099.1
3	3	0.332	*	XP_012764368.2	*	XP_034424465.1	XP_028535447.1
4	4	0.171	XP_003882842.1	*	XP_029217275.1	XP_034419854.1	XP_028535631.1
4	4	0.181	XP_003882000.1	*	XP_029220429.1	XP_034424377.1	XP_028535353.1
4	4	0.152	XP_003884281.1	XP_019969759.1	XP_029219175.1	*	XP_028532964.1
3	3	0.309	*	XP_012765457.2	*	XP_034423205.1	XP_028534513.1
3	3	0.322	*	XP_012765108.2	*	XP_034422175.1	XP_028536097.1
4	4	0.139	*	XP_012763345.2	XP_029217702.1	XP_034420391.1	XP_028532180.1
3	3	0.265	*	*	XP_029217205.1	XP_034422271.1	XP_028533606.1
3	3	0.299	*	XP_012763275.2	*	XP_034420321.1	XP_028532108.1
